facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date,address_normalized,full_address,fraud_score,fraud_flags,licensee_normalized,license_year,closed_year,google_maps_url
child_care_centers,434416231,SJB-FOOTHILL CHILD DEVELOPMENT CENTER,SJB CHILD DEVELOPMENT CENTERS,ANN-MARIE LEMMERMAN,(408) 928-5223,230 PALA AVENUE,SAN JOSE,CA,95127,SANTA CLARA,7,15,LICENSED,2020-01-16,,5252025,230 PALA AVENUE,"230 PALA AVENUE, SAN JOSE",4,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; COVID_ERA_LICENSE; ,SJB CHILD DEVELOPMENT CENTERS,2020.0,,https://www.google.com/maps/search/230%20PALA%20AVENUE%2C%20SAN%20JOSE%2C%20CA
child_care_centers,434415832,SJB-ROULEAU CHILD DEVELOPMENT CENTER,SJB CHILD DEVELOPMENT CENTERS,IYARE ISIBOR,(408) 573-4713,1875 MONROVIA DRIVE,SAN JOSE,CA,95122,SANTA CLARA,7,16,LICENSED,2019-03-19,2025-02-26,5252025,1875 MONROVIA DRIVE,"1875 MONROVIA DRIVE, SAN JOSE",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,SJB CHILD DEVELOPMENT CENTERS,2019.0,2025.0,https://www.google.com/maps/search/1875%20MONROVIA%20DRIVE%2C%20SAN%20JOSE%2C%20CA
child_care_centers,434415739,SJB - ANTONIO DEL BUONO CDC,SJB CHILD DEVELOPMENT CENTERS,PATRICIA KEITH,(408) 414-2700,245 FARRELL AVENUE,GILROY,CA,95020,SANTA CLARA,7,44,CLOSED,2018-01-02,2023-07-10,5252025,245 FARRELL AVENUE,"245 FARRELL AVENUE, GILROY",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,SJB CHILD DEVELOPMENT CENTERS,2018.0,2023.0,https://www.google.com/maps/search/245%20FARRELL%20AVENUE%2C%20GILROY%2C%20CA
child_care_centers,434404386,SJB - CASSELL CHILD DEVELOPMENT CENTER,SJB CHILD DEVELOPMENT CENTERS,"BRADBURY, AMBER",(408) 258-6518,2415 ARDEN WAY,SAN JOSE,CA,95122,SANTA CLARA,7,108,LICENSED,2001-01-04,,5252025,2415 ARDEN WAY,"2415 ARDEN WAY, SAN JOSE",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,SJB CHILD DEVELOPMENT CENTERS,2001.0,,https://www.google.com/maps/search/2415%20ARDEN%20WAY%2C%20SAN%20JOSE%2C%20CA
child_care_centers,434416175,SJB - JAMES LICK CHILD DEVELOPMENT CENTER,SJB CHILD DEVELOPMENT CENTERS,SABRINA FENECH,(408) 928-5242,57 NORTH WHITE ROAD,SAN JOSE,CA,95127,SANTA CLARA,7,38,LICENSED,2019-06-28,,5252025,57 NORTH WHITE ROAD,"57 NORTH WHITE ROAD, SAN JOSE",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,SJB CHILD DEVELOPMENT CENTERS,2019.0,,https://www.google.com/maps/search/57%20NORTH%20WHITE%20ROAD%2C%20SAN%20JOSE%2C%20CA
child_care_centers,434407981,SJB - SANTA CLARA VALLEY WATER DISTRICT CDC,SJB CHILD DEVELOPMENT CENTERS,MY DINH,(408) 445-1478,5684 ALMADEN EXPRESS WAY,SAN JOSE,CA,95118,SANTA CLARA,7,59,CLOSED,2004-10-13,2024-06-21,5252025,5684 ALMADEN EXPRESS WAY,"5684 ALMADEN EXPRESS WAY, SAN JOSE",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,SJB CHILD DEVELOPMENT CENTERS,2004.0,2024.0,https://www.google.com/maps/search/5684%20ALMADEN%20EXPRESS%20WAY%2C%20SAN%20JOSE%2C%20CA
child_care_centers,13423106,SMALL SIZE BIG MIND INC.,"SMALL SIZE, BIG MIND, INC.",MALYKA CHOP,(510) 521-8025,2001 SANTA CLARA AVENUE,ALAMEDA,CA,94501,ALAMEDA,2,96,LICENSED,2020-10-16,,5252025,2001 SANTA CLARA AVENUE,"2001 SANTA CLARA AVENUE, ALAMEDA",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"SMALL SIZE, BIG MIND, INC.",2020.0,,https://www.google.com/maps/search/2001%20SANTA%20CLARA%20AVENUE%2C%20ALAMEDA%2C%20CA
child_care_centers,155601000,SMALL STEPS CHILD DEVELOPMENT CENTER,"OPEN DOOR NETWORK, THE","FERGUSON, DECONDIA",(661) 872-4908,4201 UNIVERSITY AVE,BAKERSFIELD,CA,93306,KERN,57,28,LICENSED,2022-09-14,,5252025,4201 UNIVERSITY AVE,"4201 UNIVERSITY AVE, BAKERSFIELD",4,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; COVID_ERA_LICENSE; ,"OPEN DOOR NETWORK, THE",2022.0,,https://www.google.com/maps/search/4201%20UNIVERSITY%20AVE%2C%20BAKERSFIELD%2C%20CA
child_care_centers,263808343,SMALL WORLD CHILDCARE,"MAMMOTH MOUNTAIN SKI AREA, LLC","TELLER, DEBBIE",(760) 934-0646,1 MINARET ROAD,MAMMOTH LAKES,CA,93546,MONO,12,28,CLOSED,2006-11-21,2021-10-08,5252025,1 MINARET ROAD,"1 MINARET ROAD, MAMMOTH LAKES",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"MAMMOTH MOUNTAIN SKI AREA, LLC",2006.0,2021.0,https://www.google.com/maps/search/1%20MINARET%20ROAD%2C%20MAMMOTH%20LAKES%2C%20CA
child_care_centers,198020508,SMART TREE PRESCHOOL,SMART TREE PRESCHOOL LLC,RICKY THAI,(626) 233-2000,4715 N. ROSEMEAD BLVD,ROSEMEAD,CA,91770,LOS ANGELES,33,45,LICENSED,2021-06-17,,5252025,4715 N ROSEMEAD BLVD,"4715 N ROSEMEAD BLVD, ROSEMEAD",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,SMART TREE PRESCHOOL LLC,2021.0,,https://www.google.com/maps/search/4715%20N.%20ROSEMEAD%20BLVD%2C%20ROSEMEAD%2C%20CA
child_care_centers,426216159,SMBSD - ARELLANES PREKINDERGARTEN,SANTA MARIA BONITA SCHOOL DISTRICT,RAQUEL VALDEZ,(805) 928-1783,1890 SANDALWOOD DR,SANTA MARIA,CA,93455,SANTA BARBARA,17,24,CLOSED,2021-08-12,2022-08-11,5252025,1890 SANDALWOOD DR,"1890 SANDALWOOD DR, SANTA MARIA",4,HIGH_VOLUME_LICENSEE; COVID_ERA_LICENSE; SHORT_LIVED; ,SANTA MARIA BONITA SCHOOL DISTRICT,2021.0,2022.0,https://www.google.com/maps/search/1890%20SANDALWOOD%20DR%2C%20SANTA%20MARIA%2C%20CA
child_care_centers,304371464,SMILES MONTESSORI CHILDCARE,SMILES CHILDCARE,"AHN, SUNG JA",(714) 283-2857,2261 NORTH ORANGE OLIVE ROAD,ORANGE,CA,92865,ORANGE,6,40,LICENSED,2021-03-03,,5252025,2261 NORTH ORANGE OLIVE ROAD,"2261 NORTH ORANGE OLIVE ROAD, ORANGE",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,SMILES CHILDCARE,2021.0,,https://www.google.com/maps/search/2261%20NORTH%20ORANGE%20OLIVE%20ROAD%2C%20ORANGE%2C%20CA
child_care_centers,430702825,SOJOURNER TRUTH CHILD DEVELOPMENT CENTER,PALO ALTO COMMUNITY CHILD CARE,"FORT, PORCHEA",(650) 493-5990,3990 VENTURA COURT,PALO ALTO,CA,94306,SANTA CLARA,52,35,LICENSED,1994-04-26,,5252025,3990 VENTURA COURT,"3990 VENTURA COURT, PALO ALTO",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,PALO ALTO COMMUNITY CHILD CARE,1994.0,,https://www.google.com/maps/search/3990%20VENTURA%20COURT%2C%20PALO%20ALTO%2C%20CA
child_care_centers,376105109,SOLID START ACADEMY,SOLID START ACADEMY LLC,ALEXANDRA ELLAM,(619) 850-1568,8964 NORTH MAGNOLIA AVENUE,SANTEE,CA,92071,SAN DIEGO,51,37,LICENSED,2022-12-29,,5252025,8964 NORTH MAGNOLIA AVENUE,"8964 NORTH MAGNOLIA AVENUE, SANTEE",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,SOLID START ACADEMY LLC,2022.0,,https://www.google.com/maps/search/8964%20NORTH%20MAGNOLIA%20AVENUE%2C%20SANTEE%2C%20CA
child_care_centers,384004505,SOLMAR LEARNING CENTER,FAMILY SERVICE AGENCY OF SAN FRANCISCO,"DO, THUYVAN .T",(415) 713-7872,199 SHOTWELL STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,5,18,LICENSED,2022-02-14,,5252025,199 SHOTWELL STREET,"199 SHOTWELL STREET, SAN FRANCISCO",4,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; COVID_ERA_LICENSE; ,FAMILY SERVICE AGENCY OF SAN FRANCISCO,2022.0,,https://www.google.com/maps/search/199%20SHOTWELL%20STREET%2C%20SAN%20FRANCISCO%2C%20CA
child_care_centers,191503651,SONSHINE HOUSE PRESCHOOL,FIRST LUTHERAN CHURCH,LAURI KREITNER,(626) 285-3380,9141 BROADWAY,TEMPLE CITY,CA,91780,LOS ANGELES,33,48,CLOSED,1993-11-02,2024-06-20,5252025,9141 BROADWAY,"9141 BROADWAY, TEMPLE CITY",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,FIRST LUTHERAN CHURCH,1993.0,2024.0,https://www.google.com/maps/search/9141%20BROADWAY%2C%20TEMPLE%20CITY%2C%20CA
child_care_centers,414004851,SORA INTERNATIONAL PRESCHOOL OF DALY CITY,"SORA CLASSIC ARTS, INC.","EGUCHI, MIHO",(650) 756-1926,58 HILL STREET,DALY CITY,CA,94014,SAN MATEO,5,36,LICENSED,2021-12-01,,5252025,58 HILL STREET,"58 HILL STREET, DALY CITY",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"SORA CLASSIC ARTS, INC.",2021.0,,https://www.google.com/maps/search/58%20HILL%20STREET%2C%20DALY%20CITY%2C%20CA
child_care_centers,376105039,SORRENTO VALLEY CHILDREN'S CENTER,"SORRENTO VALLEY CHILDREN'S CENTER, INC.",ELENA J. & CAROL B.,(858) 457-3301,4050 SORRENTO VALLEY BLVD. #A,SAN DIEGO,CA,92121,SAN DIEGO,51,84,LICENSED,2020-12-29,,5252025,4050 SORRENTO VALLEY BLVD #A,"4050 SORRENTO VALLEY BLVD #A, SAN DIEGO",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"SORRENTO VALLEY CHILDREN'S CENTER, INC.",2020.0,,https://www.google.com/maps/search/4050%20SORRENTO%20VALLEY%20BLVD.%20%23A%2C%20SAN%20DIEGO%2C%20CA
child_care_centers,376700213,SORRENTO VALLEY KINDERCARE,KINDERCARE EDUCATION AT WORK LLC,URSULA JENKINS,(858) 546-9115,10068 PACIFIC HEIGHTS BLVD.,SAN DIEGO,CA,92121,SAN DIEGO,51,98,LICENSED,2006-01-03,,5252025,10068 PACIFIC HEIGHTS BLVD,"10068 PACIFIC HEIGHTS BLVD, SAN DIEGO",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,KINDERCARE EDUCATION AT WORK LLC,2006.0,,https://www.google.com/maps/search/10068%20PACIFIC%20HEIGHTS%20BLVD.%2C%20SAN%20DIEGO%2C%20CA
child_care_centers,304371412,SOUTH COAST CHINESE CULTURAL ASSOCIATION,SOUTH COAST CHINESE CULTURAL ASSOCIATION,CHING-JUNG GINGER LIN,(949) 559-6868,9 TRUMAN,IRVINE,CA,92620,ORANGE,6,84,LICENSED,2020-03-10,,5252025,9 TRUMAN,"9 TRUMAN, IRVINE",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,SOUTH COAST CHINESE CULTURAL ASSOCIATION,2020.0,,https://www.google.com/maps/search/9%20TRUMAN%2C%20IRVINE%2C%20CA
child_care_centers,384001834,SOUTHEAST FAMILIES UNITED/MISSION HEAD START,"MISSION NEIGHBORHOOD CENTERS, INC.",EUGENIA JAMES,(415) 920-7000,1337 EVANS AVENUE,SAN FRANCISCO,CA,94124,SAN FRANCISCO,5,32,LICENSED,2009-05-11,,5252025,1337 EVANS AVENUE,"1337 EVANS AVENUE, SAN FRANCISCO",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"MISSION NEIGHBORHOOD CENTERS, INC.",2009.0,,https://www.google.com/maps/search/1337%20EVANS%20AVENUE%2C%20SAN%20FRANCISCO%2C%20CA
child_care_centers,304371637,SPECTRUM MONTESSORI AT WOODBURY,ES CAL LLC.,"NIXON, LURA",(949) 825-5589,5725 TRABUCO ROAD,IRVINE,CA,92620,ORANGE,6,144,LICENSED,2023-09-12,,5252025,5725 TRABUCO ROAD,"5725 TRABUCO ROAD, IRVINE",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,ES CAL LLC.,2023.0,,https://www.google.com/maps/search/5725%20TRABUCO%20ROAD%2C%20IRVINE%2C%20CA
child_care_centers,434415327,STANFORD ARBORETUM CHILDREN'S CENTER,INTERNATIONAL CHILD RESOURCE INSTITUTE,"MONROE, MARY ALLISON",(650) 725-6322,215 QUARRY ROAD,STANFORD,CA,94305,SANTA CLARA,52,98,LICENSED,2017-10-02,,5252025,215 QUARRY ROAD,"215 QUARRY ROAD, STANFORD",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,INTERNATIONAL CHILD RESOURCE INSTITUTE,2017.0,,https://www.google.com/maps/search/215%20QUARRY%20ROAD%2C%20STANFORD%2C%20CA
child_care_centers,434415329,STANFORD MADERA GROVE CHILDREN'S CENTER,INTERNATIONAL CHILD RESOURCE INSTITUTE,"KOSTEPEN, KIMBERLY",(650) 721-6632,751 OLMSTED ROAD,STANFORD,CA,94305,SANTA CLARA,52,144,LICENSED,2017-10-02,,5252025,751 OLMSTED ROAD,"751 OLMSTED ROAD, STANFORD",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,INTERNATIONAL CHILD RESOURCE INSTITUTE,2017.0,,https://www.google.com/maps/search/751%20OLMSTED%20ROAD%2C%20STANFORD%2C%20CA
child_care_centers,435700745,STANFORD WEST CHILDREN'S CENTER,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",NANCY TRINH COSTANTIELLO,(650) 723-8700,625 CLARK WAY,PALO ALTO,CA,94304,SANTA CLARA,52,90,LICENSED,2021-08-06,,5252025,625 CLARK WAY,"625 CLARK WAY, PALO ALTO",4,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; COVID_ERA_LICENSE; ,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",2021.0,,https://www.google.com/maps/search/625%20CLARK%20WAY%2C%20PALO%20ALTO%2C%20CA
child_care_centers,304370637,STANTON HEAD START,"ORANGE COUNTY HEAD START, INC.",JANIS JONES,(714) 230-3814,8050 CHAPMAN AVENUE,STANTON,CA,90680,ORANGE,6,40,LICENSED,2010-10-04,,5252025,8050 CHAPMAN AVENUE,"8050 CHAPMAN AVENUE, STANTON",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"ORANGE COUNTY HEAD START, INC.",2010.0,,https://www.google.com/maps/search/8050%20CHAPMAN%20AVENUE%2C%20STANTON%2C%20CA
child_care_centers,313616433,STAR LOOMIS,"KATYA BOZZI, STAR INC.","CHUBON, CHANTELLE",(916) 660-9488,3505 TAYLOR ROAD,LOOMIS,CA,95650,PLACER,3,30,CLOSED,2010-08-27,2022-08-24,5252025,3505 TAYLOR ROAD,"3505 TAYLOR ROAD, LOOMIS",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"KATYA BOZZI, STAR INC.",2010.0,2022.0,https://www.google.com/maps/search/3505%20TAYLOR%20ROAD%2C%20LOOMIS%2C%20CA
child_care_centers,493009704,STARS PRESCHOOL,"LOPEZ, JYNX",MICHELLE SWEENEY,(707) 869-3850,17130 HWY 116,GUERNEVILLE,CA,95446,SONOMA,1,17,CLOSED,2018-10-24,2022-06-30,5252025,17130 HWY 116,"17130 HWY 116, GUERNEVILLE",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"LOPEZ, JYNX",2018.0,2022.0,https://www.google.com/maps/search/17130%20HWY%20116%2C%20GUERNEVILLE%2C%20CA
child_care_centers,493008801,STARS PRESCHOOL-MONTE RIO,"LOPEZ, JYNX","LOPEZ, JAYA",(707) 865-0223,20700 FOOTHILL DRIVE,MONTE RIO,CA,95462,SONOMA,1,24,CLOSED,2014-07-01,2022-06-30,5252025,20700 FOOTHILL DRIVE,"20700 FOOTHILL DRIVE, MONTE RIO",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"LOPEZ, JYNX",2014.0,2022.0,https://www.google.com/maps/search/20700%20FOOTHILL%20DRIVE%2C%20MONTE%20RIO%2C%20CA
child_care_centers,153801219,STERLING CHILD DEVELOPMENT CENTER,COMMUNITY ACTION PARTNERSHIP OF KERN,"HERNANDEZ, BRISEYDA",(661) 871-6055,3000 STERLING ROAD,BAKERSFIELD,CA,93306,KERN,57,95,CLOSED,1996-06-24,2024-04-23,5252025,3000 STERLING ROAD,"3000 STERLING ROAD, BAKERSFIELD",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,COMMUNITY ACTION PARTNERSHIP OF KERN,1996.0,2024.0,https://www.google.com/maps/search/3000%20STERLING%20ROAD%2C%20BAKERSFIELD%2C%20CA
child_care_centers,434415331,STOCK FARM ROAD CHILDREN'S CENTER,INTERNATIONAL CHILD RESOURCE INSTITUTE,"RODRIGUEZ, SENCHAL",(650) 736-8465,183 STOCK FARM ROAD,STANFORD,CA,94305,SANTA CLARA,52,76,LICENSED,2017-10-02,,5252025,183 STOCK FARM ROAD,"183 STOCK FARM ROAD, STANFORD",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,INTERNATIONAL CHILD RESOURCE INSTITUTE,2017.0,,https://www.google.com/maps/search/183%20STOCK%20FARM%20ROAD%2C%20STANFORD%2C%20CA
child_care_centers,45408190,STORYBOOK SCHOOLHOUSE: PRESCHOOL & DAYCARE,"BRIGHT FUTURES CHILDCARE CENTERS, INC.",ELIZABETH GIVENS,(530) 895-8793,794 E 3RD AVE,CHICO,CA,95926,BUTTE,13,65,CLOSED,2022-09-27,2025-04-08,5252025,794 E 3RD AVE,"794 E 3RD AVE, CHICO",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"BRIGHT FUTURES CHILDCARE CENTERS, INC.",2022.0,2025.0,https://www.google.com/maps/search/794%20E%203RD%20AVE%2C%20CHICO%2C%20CA
child_care_centers,384001837,STRATFORD SCHOOL,"STRATFORD SCHOOL, INC.","ADESUYI-FASUYI, OLABISI",(415) 333-3134,301 DE MONTFORT AVENUE,SAN FRANCISCO,CA,94112,SAN FRANCISCO,5,110,CLOSED,2008-08-26,2021-04-05,5252025,301 DE MONTFORT AVENUE,"301 DE MONTFORT AVENUE, SAN FRANCISCO",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"STRATFORD SCHOOL, INC.",2008.0,2021.0,https://www.google.com/maps/search/301%20DE%20MONTFORT%20AVENUE%2C%20SAN%20FRANCISCO%2C%20CA
child_care_centers,434417122,STRATFORD SCHOOL,STRATFORD SCHOOL INC.,CHERYL DAMATO,(408) 458-9665,220 BELGATOS ROAD,LOS GATOS,CA,95032,SANTA CLARA,7,64,LICENSED,2023-09-20,,5252025,220 BELGATOS ROAD,"220 BELGATOS ROAD, LOS GATOS",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,STRATFORD SCHOOL INC.,2023.0,,https://www.google.com/maps/search/220%20BELGATOS%20ROAD%2C%20LOS%20GATOS%2C%20CA
child_care_centers,434416990,STRATFORD SCHOOL - ALMADEN,"STRATFORD SCHOOL, INC.",NEDA GHAHGHAHI,(408) 877-6300,5200 DENT AVENUE,SAN JOSE,CA,95118,SANTA CLARA,7,264,LICENSED,2021-09-16,,5252025,5200 DENT AVENUE,"5200 DENT AVENUE, SAN JOSE",4,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; COVID_ERA_LICENSE; ,"STRATFORD SCHOOL, INC.",2021.0,,https://www.google.com/maps/search/5200%20DENT%20AVENUE%2C%20SAN%20JOSE%2C%20CA
child_care_centers,198011690,ST. ANNE'S EARLY LEARNING CENTER,ST. ANNE'S FAMILY SERVICES,PATRICIA BRIZUELA,(213) 381-2931,151 N. OCCIDENTAL BLVD.,LOS ANGELES,CA,90026,LOS ANGELES,33,90,LICENSED,2005-07-15,,5252025,151 N OCCIDENTAL BLVD,"151 N OCCIDENTAL BLVD, LOS ANGELES",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,ST. ANNE'S FAMILY SERVICES,2005.0,,https://www.google.com/maps/search/151%20N.%20OCCIDENTAL%20BLVD.%2C%20LOS%20ANGELES%2C%20CA
child_care_centers,198018125,ST. ANNE'S EARLY LEARNING CENTER AT BEVERLY,ST. ANNE'S FAMILY SERVICES,PATRICIA BRIZUELA,(213) 225-8811,1501 BEVERLY BLVD,LOS ANGELES,CA,90026,LOS ANGELES,33,43,CLOSED,2014-12-03,2024-07-29,5252025,1501 BEVERLY BLVD,"1501 BEVERLY BLVD, LOS ANGELES",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,ST. ANNE'S FAMILY SERVICES,2014.0,2024.0,https://www.google.com/maps/search/1501%20BEVERLY%20BLVD%2C%20LOS%20ANGELES%2C%20CA
child_care_centers,198018121,ST. ANNE'S EARLY LEARNING CENTER AT HYANS,ST. ANNE'S FAMILY SERVICES,JENNY UNGER,(213) 381-2931,2737 HYANS ST.,LOS ANGELES,CA,90026,LOS ANGELES,33,26,CLOSED,2014-10-06,2024-05-03,5252025,2737 HYANS ST,"2737 HYANS ST, LOS ANGELES",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,ST. ANNE'S FAMILY SERVICES,2014.0,2024.0,https://www.google.com/maps/search/2737%20HYANS%20ST.%2C%20LOS%20ANGELES%2C%20CA
child_care_centers,198018120,ST. ANNE'S EARLY LEARNING CENTER AT ROSELAKE,ST. ANNE'S FAMILY SERVICES,PATRICIA HERNANDEZ,(213) 201-1062,2233 BEVERLY BLVD,LOS ANGELES,CA,90057,LOS ANGELES,33,55,CLOSED,2014-10-06,2021-10-13,5252025,2233 BEVERLY BLVD,"2233 BEVERLY BLVD, LOS ANGELES",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,ST. ANNE'S FAMILY SERVICES,2014.0,2021.0,https://www.google.com/maps/search/2233%20BEVERLY%20BLVD%2C%20LOS%20ANGELES%2C%20CA
child_care_centers,343615514,ST. CHARLES BORROMEO SCHOOL PRE-K,ROMAN CATHOLIC BISHOP OF SACRAMENTO,LEAH QUACKENBUSH,(916) 421-6189,7580 CENTER PARKWAY,SACRAMENTO,CA,95823,SACRAMENTO,3,30,LICENSED,2008-10-28,,5252025,7580 CENTER PARKWAY,"7580 CENTER PARKWAY, SACRAMENTO",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,ROMAN CATHOLIC BISHOP OF SACRAMENTO,2008.0,,https://www.google.com/maps/search/7580%20CENTER%20PARKWAY%2C%20SACRAMENTO%2C%20CA
child_care_centers,434416442,SUNFLOWER CHILD DEVELOPMENT CENTER,"MAKAROVA-KAMRADT, LLC",NATALIA KAMRADT,(408) 368-2862,2070 HOMESTEAD ROAD,SANTA CLARA,CA,95050,SANTA CLARA,7,35,LICENSED,2020-06-15,,5252025,2070 HOMESTEAD ROAD,"2070 HOMESTEAD ROAD, SANTA CLARA",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"MAKAROVA-KAMRADT, LLC",2020.0,,https://www.google.com/maps/search/2070%20HOMESTEAD%20ROAD%2C%20SANTA%20CLARA%2C%20CA
child_care_centers,493009936,SUNFLOWER CORNER PRESCHOOL,"SUNFLOWER CORNER PRESCHOOL, LLC","GARCIA, ADRIANNA",(707) 829-1210,1782 PLEASANT HILL ROAD,SEBASTOPOL,CA,95472,SONOMA,1,15,CLOSED,2020-09-01,2023-05-26,5252025,1782 PLEASANT HILL ROAD,"1782 PLEASANT HILL ROAD, SEBASTOPOL",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"SUNFLOWER CORNER PRESCHOOL, LLC",2020.0,2023.0,https://www.google.com/maps/search/1782%20PLEASANT%20HILL%20ROAD%2C%20SEBASTOPOL%2C%20CA
child_care_centers,304371450,SUNNY DAY LEARNING CENTER,MER ED II LLC,NATALIE HERNANDEZ,(714) 521-5071,8012 WHITAKER STREET,BUENA PARK,CA,90621,ORANGE,6,76,LICENSED,2020-11-04,,5252025,8012 WHITAKER STREET,"8012 WHITAKER STREET, BUENA PARK",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,MER ED II LLC,2020.0,,https://www.google.com/maps/search/8012%20WHITAKER%20STREET%2C%20BUENA%20PARK%2C%20CA
child_care_centers,197750119,SUNNY DAYS PRESCHOOL,SANDSAR INC.,SANDRA DENKOVSKI,(661) 208-0575,32248 CROWN VALLEY ROAD,ACTON,CA,93510,LOS ANGELES,12,16,CLOSED,2021-12-06,2022-12-06,5252025,32248 CROWN VALLEY ROAD,"32248 CROWN VALLEY ROAD, ACTON",5,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; SHORT_LIVED; ,SANDSAR INC.,2021.0,2022.0,https://www.google.com/maps/search/32248%20CROWN%20VALLEY%20ROAD%2C%20ACTON%2C%20CA
child_care_centers,566216552,SUNNY SIDE PRESCHOOL & DAYCARE,SUNNY SIDE CHRISTIAN PRESCHOOL & DAYCARE W/CHAPEL,MARISA GRUBER,(805) 856-8021,1212 MARICOPA HWY,OJAI,CA,93023,VENTURA,17,24,CLOSED,2023-06-14,2024-10-30,5252025,1212 MARICOPA HWY,"1212 MARICOPA HWY, OJAI",4,DUPLICATE_ADDRESS; SHORT_LIVED; ,SUNNY SIDE CHRISTIAN PRESCHOOL & DAYCARE W/CHAPEL,2023.0,2024.0,https://www.google.com/maps/search/1212%20MARICOPA%20HWY%2C%20OJAI%2C%20CA
child_care_centers,376105033,SUNNYSIDE LEARNING CENTER,SUNNYSIDE LEARNING CENTER PRESCHOOL & DAYCARE,RAFAT ILAIAN,(760) 447-8669,178 SOUTH RANCHO SANTA FE ROAD,SAN MARCOS,CA,92078,SAN DIEGO,51,32,LICENSED,2021-03-17,,5252025,178 SOUTH RANCHO SANTA FE ROAD,"178 SOUTH RANCHO SANTA FE ROAD, SAN MARCOS",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,SUNNYSIDE LEARNING CENTER PRESCHOOL & DAYCARE,2021.0,,https://www.google.com/maps/search/178%20SOUTH%20RANCHO%20SANTA%20FE%20ROAD%2C%20SAN%20MARCOS%2C%20CA
child_care_centers,376701516,SUNSHINE'S PRESCHOOL ACADEMY,"SUNSHINE'S PRESCHOOLS ACADEMY, LLC",ERICA SERRANO,(619) 431-8202,3205 WASHINGTON STREET,LEMON GROVE,CA,91945,SAN DIEGO,20,43,LICENSED,2022-11-16,,5252025,3205 WASHINGTON STREET,"3205 WASHINGTON STREET, LEMON GROVE",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"SUNSHINE'S PRESCHOOLS ACADEMY, LLC",2022.0,,https://www.google.com/maps/search/3205%20WASHINGTON%20STREET%2C%20LEMON%20GROVE%2C%20CA
