facility_name,licensee,facility_address,facility_city,facility_zip,county_name,facility_capacity,facility_status,license_first_date,closed_date,months_operated,facility_telephone_number,risk_score,google_maps_url
"RAGAVAN, VAISHNAVEE","RAGAVAN, VAISHNAVEE",Unavailable,FREMONT,94539,ALAMEDA,14,CLOSED,1/27/2021,8/18/2022,18.9,(650) 314-3949,7,https://www.google.com/maps/search/Unavailable%2C%20FREMONT%2C%20CA
KCE CHAMPIONS LLC @ ARCHOE SCHOOL,KCE CHAMPION LLC,11755 IVIE ROAD,HERALD,95638,SACRAMENTO,200,CLOSED,6/25/2020,8/27/2021,14.3,(209) 810-6511,7,https://www.google.com/maps/search/11755%20IVIE%20ROAD%2C%20HERALD%2C%20CA
RAMEY FAMILY CHILD CARE,"RAMEY, ROSELYN",Unavailable,LOS ANGELES,90002,LOS ANGELES,14,CLOSED,9/19/2023,4/9/2025,18.9,(310) 780-0885,7,https://www.google.com/maps/search/Unavailable%2C%20LOS%20ANGELES%2C%20CA
"HERATH, SAMADHI FAMILY CHILD CARE","HERATH, SAMADHI",Unavailable,SAN DIEGO,92120,SAN DIEGO,14,CLOSED,6/21/2022,10/24/2023,16.3,(619) 302-9698,7,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
RAMIREZ FAMILY CHILD CARE,"RAMIREZ, LUCIA; LARA, SHELLY",Unavailable,SANTA MARIA,93458,SANTA BARBARA,14,CLOSED,10/11/2022,9/25/2024,23.8,(805) 598-7804,7,https://www.google.com/maps/search/Unavailable%2C%20SANTA%20MARIA%2C%20CA
H.O.M.E. L.L.C.,H.O.M.E. L.L.C.,1537 FULTON ST,FRESNO,93721,FRESNO,60,CLOSED,5/13/2022,4/7/2023,11.0,(559) 301-2193,7,https://www.google.com/maps/search/1537%20FULTON%20ST%2C%20FRESNO%2C%20CA
"HERMO, KRISTEN FAMILY CHILD CARE HOME","HERMO, KRISTEN",Unavailable,CHESTER,96020,PLUMAS,14,CLOSED,7/13/2022,9/20/2023,14.5,(530) 375-0151,7,https://www.google.com/maps/search/Unavailable%2C%20CHESTER%2C%20CA
"HEARTFELT DAYCARE, LLC",RASHON REYES,15451 BEAR VALLEY ROAD,HESPERIA,92345,SAN BERNARDINO,8,LICENSED,8/16/2022,2/15/2024,18.3,(909) 559-1592,7,https://www.google.com/maps/search/15451%20BEAR%20VALLEY%20ROAD%2C%20HESPERIA%2C%20CA
HAVENSCOURT HIGHER LEARNING CHILDCARE CENTER,OROVILLE SOUTHSIDE COMMUNITY IMPROVEMENT ASSOCIATI,2959 LOWER WYANDOTTE RD,OROVILLE,95966,BUTTE,15,CLOSED,6/15/2023,12/17/2024,18.4,(530) 693-4305,7,https://www.google.com/maps/search/2959%20LOWER%20WYANDOTTE%20RD%2C%20OROVILLE%2C%20CA
HERNANDEZ GUZMAN FAMILY CHILD CARE,BESSIE HERNANDEZ GUZMAN,Unavailable,WEST COVINA,91790,LOS ANGELES,14,CLOSED,9/1/2020,5/27/2022,21.1,(818) 462-1664,7,https://www.google.com/maps/search/Unavailable%2C%20WEST%20COVINA%2C%20CA
"KING, AJA","KING, AJA",Unavailable,SACRAMENTO,95841,SACRAMENTO,14,CLOSED,8/30/2021,7/26/2022,11.0,(916) 413-6598,7,https://www.google.com/maps/search/Unavailable%2C%20SACRAMENTO%2C%20CA
"HERNANDEZ, MIRIAN FAMILY CHILD CARE","HERNANDEZ, MIRIAN",Unavailable,DELANO,93215,KERN,14,CLOSED,12/3/2020,9/26/2022,22.1,(661) 229-6808,7,https://www.google.com/maps/search/Unavailable%2C%20DELANO%2C%20CA
"KIM, AE KYONG","KIM, AE KYONG",Unavailable,BUENA PARK,90620,ORANGE,14,CLOSED,2/4/2020,11/9/2020,9.3,(714) 723-1086,7,https://www.google.com/maps/search/Unavailable%2C%20BUENA%20PARK%2C%20CA
GOOD SPORTS PLUS LTD (DBA) ARC - GOOD SHEPHERD,GOOD SPORTS PLUS LTD,148 S LINDEN DRIVE,BEVERLY HILLS,90212,LOS ANGELES,18,CLOSED,1/31/2022,6/18/2022,4.6,(310) 641-4400,7,https://www.google.com/maps/search/148%20S%20LINDEN%20DRIVE%2C%20BEVERLY%20HILLS%2C%20CA
"EXPLORER'S CENTER, THE",NOVI'S CENTER LLC,10850 MONTONGO STREET,SAN DIEGO,92126,SAN DIEGO,48,CLOSED,12/13/2022,6/8/2023,5.9,(858) 444-7089,7,https://www.google.com/maps/search/10850%20MONTONGO%20STREET%2C%20SAN%20DIEGO%2C%20CA
DESERT HOT SPRINGS RECREATION,BORREGO COMMUNITY HEALTH FOUNDATION,11750 CHOLLA DRIVE,DESERT HOT SPRINGS,92240,RIVERSIDE,165,CLOSED,5/4/2020,4/8/2021,11.3,(760) 676-5905,7,https://www.google.com/maps/search/11750%20CHOLLA%20DRIVE%2C%20DESERT%20HOT%20SPRINGS%2C%20CA
RAMIREZ FCC AKA SUN COAST KIDS,"RAMIREZ, LIZBETH",Unavailable,GROVER BEACH,93433,SAN LUIS OBISPO,14,CLOSED,9/7/2022,4/25/2024,19.9,(805) 904-3569,7,https://www.google.com/maps/search/Unavailable%2C%20GROVER%20BEACH%2C%20CA
"HERRERA, CYNTHIA","HERRERA, CYNTHIA",Unavailable,WATSONVILLE,95076,SANTA CRUZ,14,CLOSED,11/4/2020,1/31/2021,2.9,(831) 535-2742,7,https://www.google.com/maps/search/Unavailable%2C%20WATSONVILLE%2C%20CA
CHILDREN'S CHOICE ACADEMY - VISTA,"CHILDREN'S CHOICE ACADEMY, INC",739 OLICE AVE,VISTA,92083,SAN DIEGO,14,CLOSED,10/26/2023,2/9/2024,3.5,(619) 249-4328,7,https://www.google.com/maps/search/739%20OLICE%20AVE%2C%20VISTA%2C%20CA
RIGHT AT SCHOOL AT GABRIELA MISTRAL,"RIGHT AT SCHOOL, LLC",505 ESCULA AVENUE,MOUNTAIN VIEW,94041,SANTA CLARA,120,CLOSED,8/14/2019,4/1/2021,19.9,(650) 407-0531,7,https://www.google.com/maps/search/505%20ESCULA%20AVENUE%2C%20MOUNTAIN%20VIEW%2C%20CA
RIGHT AT SCHOOL AT GRAHAM MIDDLE,"RIGHT AT SCHOOL, LLC.",1175 CASTRO STREET,MOUNTAIN VIEW,94040,SANTA CLARA,120,CLOSED,8/14/2019,4/1/2021,19.9,(650) 407-0531,7,https://www.google.com/maps/search/1175%20CASTRO%20STREET%2C%20MOUNTAIN%20VIEW%2C%20CA
CATLETT FAMILY CHILD CARE,"CATLETT,KELLY",Unavailable,MURRIETA,92562,RIVERSIDE,14,CLOSED,7/17/2020,10/29/2021,15.6,(951) 852-5447,7,https://www.google.com/maps/search/Unavailable%2C%20MURRIETA%2C%20CA
"DA COSTA, ADRIANA","DA COSTA, ADRIANA",Unavailable,CONCORD,94518,CONTRA COSTA,14,CLOSED,11/28/2022,12/11/2023,12.6,(628) 888-4530,7,https://www.google.com/maps/search/Unavailable%2C%20CONCORD%2C%20CA
"BERMUDEZ, ERIKA FAMILY CHILD CARE","BERMUDEZ, ERIKA",Unavailable,CHULA VISTA,91913,SAN DIEGO,14,CLOSED,6/30/2020,12/23/2020,5.9,(619) 587-4131,7,https://www.google.com/maps/search/Unavailable%2C%20CHULA%20VISTA%2C%20CA
BENTLEY FAMILY CHILD CARE,"BENTLEY, SUMMER",Unavailable,CORONA,92881,RIVERSIDE,14,CLOSED,8/13/2021,5/12/2022,9.1,(714) 651-9833,7,https://www.google.com/maps/search/Unavailable%2C%20CORONA%2C%20CA
"MADDALA, SAI LAKSHMI","MADDALA, SAI LAKSHMI",Unavailable,ANTIOCH,94531,CONTRA COSTA,14,CLOSED,6/2/2022,4/11/2024,22.6,(669) 210-2702,7,https://www.google.com/maps/search/Unavailable%2C%20ANTIOCH%2C%20CA
"BELLOFATTO, ELIZABETH FAMILY CHILD CARE","BELLOFATTO, ELIZABETH",Unavailable,SAN DIEGO,92117,SAN DIEGO,14,CLOSED,4/7/2021,2/10/2022,10.3,(858) 228-6994,7,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
CORTEZ FAMILY CHILD CARE,"CORTEZ, BRIANNA",Unavailable,VISTA,92081,SAN DIEGO,14,CLOSED,5/10/2022,2/12/2024,21.4,(760) 715-9952,7,https://www.google.com/maps/search/Unavailable%2C%20VISTA%2C%20CA
"LO, HUI FEN","LO, HUI FEN",Unavailable,SUNNYVALE,94087,SANTA CLARA,14,CLOSED,10/17/2022,8/31/2024,22.8,(669) 302-5020,7,https://www.google.com/maps/search/Unavailable%2C%20SUNNYVALE%2C%20CA
"MCPHETRIDGE, CONCEPCION & STEVEN FCC","MCPHETRIDGE,CONCEPCION & STEVEN",Unavailable,TULARE,93274,TULARE,14,CLOSED,11/22/2022,11/7/2024,23.9,(559) 556-4863,7,https://www.google.com/maps/search/Unavailable%2C%20TULARE%2C%20CA
"BAUTISTA, GLORIA","BAUTISTA, GLORIA",Unavailable,CUPERTINO,95014,SANTA CLARA,14,CLOSED,5/6/2020,2/17/2021,9.6,(925) 665-9115,7,https://www.google.com/maps/search/Unavailable%2C%20CUPERTINO%2C%20CA
BARRERA FAMILY CHILD CARE,NATALJA BARRERA,Unavailable,LOS ANGELES,90066,LOS ANGELES,12,CLOSED,1/10/2020,9/1/2020,7.8,(310) 776-2086,7,https://www.google.com/maps/search/Unavailable%2C%20LOS%20ANGELES%2C%20CA
"BARRAGAN, JOHANNA FAMILY CHILD CARE","BARRAGAN, JOHANNA",Unavailable,SAN DIEGO,92154,SAN DIEGO,14,CLOSED,12/8/2022,6/14/2024,18.5,(619) 829-7072,7,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
BARAJAS GONZALEZ-SILVA FCC,"BARAJAS,JESSICA&GONZALEZ-SILVA MARIO",Unavailable,SANTA MARIA,93455,SANTA BARBARA,14,CLOSED,12/28/2022,5/22/2024,17.0,(805) 406-2775,7,https://www.google.com/maps/search/Unavailable%2C%20SANTA%20MARIA%2C%20CA
"BAKOUR, NAELA","BAKOUR, NAELA",Unavailable,SAN CARLOS,94070,SAN MATEO,14,CLOSED,9/21/2022,8/17/2023,11.0,(650) 303-6913,7,https://www.google.com/maps/search/Unavailable%2C%20SAN%20CARLOS%2C%20CA
CURTIS FAMILY CHILD CARE,"CURTIS, CHERYL M.",Unavailable,THOUSAND OAKS,91360,VENTURA,14,CLOSED,5/13/2020,1/14/2021,8.2,(805) 368-0251,7,https://www.google.com/maps/search/Unavailable%2C%20THOUSAND%20OAKS%2C%20CA
LOWE FAMILY CHILD CARE,"LOWE, THERESA",Unavailable,MENIFEE,92584,RIVERSIDE,14,CLOSED,8/4/2021,5/24/2022,9.8,(714) 702-9038,7,https://www.google.com/maps/search/Unavailable%2C%20MENIFEE%2C%20CA
"FLORES, EUGENIA FAMILY CHILD CARE","FLORES, EUGENIA",Unavailable,POPLAR,93258,TULARE,14,CLOSED,3/1/2022,4/11/2023,13.5,(559) 793-6777,7,https://www.google.com/maps/search/Unavailable%2C%20POPLAR%2C%20CA
DAVIS FAMILY CHILD CARE,"DAVIS, SARAH",Unavailable,RIVERSIDE,92508,RIVERSIDE,14,CLOSED,5/11/2022,10/6/2023,17.1,(951) 386-9270,7,https://www.google.com/maps/search/Unavailable%2C%20RIVERSIDE%2C%20CA
"BAEZA, AMELIA FCCH","BAEZA, AMELIA",Unavailable,NAPA,94558,NAPA,14,CLOSED,5/19/2020,7/18/2021,14.2,(707) 235-4893,7,https://www.google.com/maps/search/Unavailable%2C%20NAPA%2C%20CA
"AYALA, MARICELA FAMILY CHILD CARE","AYALA, MARICELA",Unavailable,BAKERSFIELD,93313,KERN,14,CLOSED,9/21/2020,11/23/2021,14.3,(661) 300-0006,7,https://www.google.com/maps/search/Unavailable%2C%20BAKERSFIELD%2C%20CA
"ATLANOVA, ALEXANDRA","ATLANOVA, ALEXANDRA",Unavailable,FOSTER CITY,94404,SAN MATEO,14,CLOSED,1/30/2024,4/16/2025,14.7,(646) 258-1158,7,https://www.google.com/maps/search/Unavailable%2C%20FOSTER%20CITY%2C%20CA
ATKINS FAMILY CHILD CARE,DARLETTA ATKINS,Unavailable,CALIFORNIA CITY,93505,KERN,14,CLOSED,1/5/2022,2/17/2023,13.6,(442) 247-7077,7,https://www.google.com/maps/search/Unavailable%2C%20CALIFORNIA%20CITY%2C%20CA
"MEHDIZADE, KHADIJA & REZAI, ALI","MEHDIZADE, KHADIJA & REZAI, ALI",Unavailable,SACRAMENTO,95864,SACRAMENTO,14,CLOSED,10/11/2022,9/16/2024,23.5,(916) 612-3183,7,https://www.google.com/maps/search/Unavailable%2C%20SACRAMENTO%2C%20CA
MEJIA FAMILY CHILD CARE,JESSICA MEJIA,Unavailable,SAN PEDRO,90731,LOS ANGELES,14,CLOSED,1/31/2020,1/12/2021,11.6,(424) 264-7448,7,https://www.google.com/maps/search/Unavailable%2C%20SAN%20PEDRO%2C%20CA
LOWE FAMILY CHILD CARE,"LOWE, THERESA",Unavailable,HEMET,92545,RIVERSIDE,14,CLOSED,5/24/2022,1/1/2024,19.6,(714) 702-9038,7,https://www.google.com/maps/search/Unavailable%2C%20HEMET%2C%20CA
MEJIA ROJAS FCC AKA SUNFLOWER DAY CARE,"MEJIA ROJAS, MARIA",Unavailable,GROVER BEACH,93433,SAN LUIS OBISPO,14,CLOSED,4/28/2022,11/30/2023,19.4,(805) 668-7168,7,https://www.google.com/maps/search/Unavailable%2C%20GROVER%20BEACH%2C%20CA
MELKONYAN FAMILY CHILD CARE,LILIT MELKONYAN,Unavailable,GLENDALE,91206,LOS ANGELES,14,CLOSED,9/14/2021,6/30/2023,21.8,(818) 744-5111,7,https://www.google.com/maps/search/Unavailable%2C%20GLENDALE%2C%20CA
"ARA, ROSHAN","ARA, ROSHAN",Unavailable,SUNNYVALE,94086,SANTA CLARA,14,CLOSED,10/29/2020,6/7/2021,7.4,(408) 464-1659,7,https://www.google.com/maps/search/Unavailable%2C%20SUNNYVALE%2C%20CA
ANGULO FAMILY CHILD CARE,"ANGULO,ALONDRA",Unavailable,INDIO,92201,RIVERSIDE,14,CLOSED,4/27/2021,12/26/2022,20.3,(760) 799-7949,7,https://www.google.com/maps/search/Unavailable%2C%20INDIO%2C%20CA
"RIVERA SANCHEZ, SARELY","RIVERA SANCHEZ, SARELY",Unavailable,CUPERTINO,95014,SANTA CLARA,14,CLOSED,12/23/2022,9/27/2023,9.3,(408) 367-9272,7,https://www.google.com/maps/search/Unavailable%2C%20CUPERTINO%2C%20CA
"MCKNIGHT, RACHAIEL",RACHAIEL MCKNIGHT,Unavailable,NEVADA CITY,95959,NEVADA,14,CLOSED,6/5/2023,4/19/2024,10.6,(530) 802-1798,7,https://www.google.com/maps/search/Unavailable%2C%20NEVADA%20CITY%2C%20CA
MCKENZIE FAMILY CHILD CARE,"MCKENZIE, KIMBERLY",Unavailable,MORENO VALLEY,92553,RIVERSIDE,14,CLOSED,8/12/2022,5/20/2024,21.6,(951) 323-7121,7,https://www.google.com/maps/search/Unavailable%2C%20MORENO%20VALLEY%2C%20CA
"BISHOP, RIEM","BISHOP, RIEM",Unavailable,CUPERTINO,95014,SANTA CLARA,14,CLOSED,4/21/2021,2/27/2023,22.6,(408) 394-2345,7,https://www.google.com/maps/search/Unavailable%2C%20CUPERTINO%2C%20CA
BONNER FAMILY CHILD CARE,"ERIKKA BONNER, ANTUAN ALEX",Unavailable,VICTORVILLE,92392,SAN BERNARDINO,14,CLOSED,11/30/2021,3/7/2023,15.4,(951) 489-2236,7,https://www.google.com/maps/search/Unavailable%2C%20VICTORVILLE%2C%20CA
CASTRO FAMILY CHILD CARE,"CASTRO, FATIMA",Unavailable,LONG BEACH,90805,LOS ANGELES,14,CLOSED,5/1/2023,3/12/2024,10.5,(562) 346-6037,7,https://www.google.com/maps/search/Unavailable%2C%20LONG%20BEACH%2C%20CA
"MARTINEZ LOPEZ, ANIBAL","MARTINEZ LOPEZ, ANIBAL",Unavailable,MOUNTAIN VIEW,94043,SANTA CLARA,14,CLOSED,4/2/2021,2/15/2022,10.6,(650) 669-3193,7,https://www.google.com/maps/search/Unavailable%2C%20MOUNTAIN%20VIEW%2C%20CA
CASTILLO FCC AKA DAY CARE AT GRANDMA'S,"CASTILLO, IRMA",Unavailable,SANTA MARIA,93458,SANTA BARBARA,14,CLOSED,7/14/2021,6/2/2023,22.9,(805) 720-4344,7,https://www.google.com/maps/search/Unavailable%2C%20SANTA%20MARIA%2C%20CA
"CERVANTES, MAYRA FAMILY CHILD CARE",MAYRA CERVANTES,Unavailable,HANFORD,93230,KINGS,14,CLOSED,3/5/2020,10/28/2021,20.1,(559) 772-9576,7,https://www.google.com/maps/search/Unavailable%2C%20HANFORD%2C%20CA
"CHANDRA REDDY, SHIVANI","CHANDRA REDDY, SHIVANI",Unavailable,MANTECA,95336,SAN JOAQUIN,14,CLOSED,5/6/2022,3/21/2024,22.8,(650) 315-4749,7,https://www.google.com/maps/search/Unavailable%2C%20MANTECA%2C%20CA
CASTILLO FAMILY CHILD CARE,"CASTILLO, MARIA",Unavailable,SANTA MARIA,93455,SANTA BARBARA,14,CLOSED,5/31/2024,3/12/2025,9.5,(805) 345-7209,7,https://www.google.com/maps/search/Unavailable%2C%20SANTA%20MARIA%2C%20CA
"MARTINEZ, FRANCISCO","MARTINEZ, FRANCISCO",Unavailable,MENLO PARK,94025,SAN MATEO,14,CLOSED,2/23/2022,2/21/2023,12.1,(650) 533-9091,7,https://www.google.com/maps/search/Unavailable%2C%20MENLO%20PARK%2C%20CA
"CARBIN, KRISTINA FAMILY CHILD CARE HOME","CARBIN, KRISTINA",Unavailable,REDDING,96002,SHASTA,14,CLOSED,7/17/2023,4/22/2024,9.3,(530) 710-7508,7,https://www.google.com/maps/search/Unavailable%2C%20REDDING%2C%20CA
CHAVEZ FAMILY CHILD CARE,"CHAVEZ,BEATRIZ",Unavailable,HEMET,92545,RIVERSIDE,14,CLOSED,4/20/2020,9/13/2021,17.0,(714) 514-9165,7,https://www.google.com/maps/search/Unavailable%2C%20HEMET%2C%20CA
"CAMPERO, LUIS & LOPEZ KARLA",LUIS CAMPERO & KARLA LOPEZ,Unavailable,PALO ALTO,94303,SANTA CLARA,14,CLOSED,2/4/2021,10/10/2022,20.4,(650) 537-8064,7,https://www.google.com/maps/search/Unavailable%2C%20PALO%20ALTO%2C%20CA
"MCCOY, MICHELLE FAMILY CHILD CARE","MCCOY, MICHELLE",Unavailable,FRESNO,93727,FRESNO,14,CLOSED,4/25/2022,11/17/2023,19.0,(559) 473-3632,7,https://www.google.com/maps/search/Unavailable%2C%20FRESNO%2C%20CA
CAMARENA FAMILY CHILD CARE,MIRNA CAMARENA,Unavailable,LOS ANGELES,90065,LOS ANGELES,14,CLOSED,12/23/2021,1/3/2023,12.5,(323) 394-0945,7,https://www.google.com/maps/search/Unavailable%2C%20LOS%20ANGELES%2C%20CA
"CAIN, AJONAE","CAIN, AJONAE",Unavailable,ELK GROVE,95758,SACRAMENTO,14,CLOSED,3/5/2021,12/9/2022,21.5,(951) 489-9422,7,https://www.google.com/maps/search/Unavailable%2C%20ELK%20GROVE%2C%20CA
MANUKYAN FAMILY CHILD CARE,NARA MANUKYAN,Unavailable,GLENDALE,91204,LOS ANGELES,14,CLOSED,9/26/2022,9/11/2024,23.9,(747) 944-7981,7,https://www.google.com/maps/search/Unavailable%2C%20GLENDALE%2C%20CA
BURTON FCC AKA MOUNTAIN MOVERS CHILD CARE,"BURTON, CLARE",Unavailable,SAN LUIS OBISPO,93405,SAN LUIS OBISPO,14,CLOSED,3/18/2022,1/13/2024,22.2,(518) 932-5738,7,https://www.google.com/maps/search/Unavailable%2C%20SAN%20LUIS%20OBISPO%2C%20CA
BUNN FAMILY CHILD CARE,MELANIE BUNN,Unavailable,YUCCA VALLEY,92284,SAN BERNARDINO,14,CLOSED,12/1/2021,4/25/2022,4.8,(760) 418-5133,7,https://www.google.com/maps/search/Unavailable%2C%20YUCCA%20VALLEY%2C%20CA
"BUENROSTRO, JANET FAMILY CHILD CARE","BUENROSTRO, JANET",Unavailable,SAN DIEGO,92111,SAN DIEGO,14,CLOSED,10/12/2021,8/19/2023,22.5,(619) 872-8737,7,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
"CHEN, AIHUA",AIHUA CHEN,Unavailable,SANTA CLARA,95051,SANTA CLARA,14,CLOSED,1/20/2021,11/21/2022,22.3,(650) 304-5123,7,https://www.google.com/maps/search/Unavailable%2C%20SANTA%20CLARA%2C%20CA
BUBENNOVA FAMILY CHILD CARE,ANZHELA BUBENNOVA,Unavailable,WEST HILLS,91307,LOS ANGELES,14,CLOSED,5/12/2022,9/5/2023,16.0,(818) 385-7058,7,https://www.google.com/maps/search/Unavailable%2C%20WEST%20HILLS%2C%20CA
"CHEN, SHIRLEY","CHEN, SHIRLEY",Unavailable,BERKELEY,94703,ALAMEDA,14,CLOSED,9/9/2020,4/4/2022,19.1,(408) 202-4619,7,https://www.google.com/maps/search/Unavailable%2C%20BERKELEY%2C%20CA
BUBELLO FAMILY CHILD CARE,"BUBELLO, BARBARA",Unavailable,BLOOMINGTON,92316,SAN BERNARDINO,14,CLOSED,12/29/2023,10/18/2024,9.8,(909) 549-4594,7,https://www.google.com/maps/search/Unavailable%2C%20BLOOMINGTON%2C%20CA
MALDONADO FAMILY CHILD CARE,KASEY MALDONADO,Unavailable,APPLE VALLEY,92308,SAN BERNARDINO,14,CLOSED,8/4/2022,6/5/2024,22.4,(760) 338-9836,7,https://www.google.com/maps/search/Unavailable%2C%20APPLE%20VALLEY%2C%20CA
"MAIER-DUNN, PAMELA FAMILY CHILD CARE","MAIER-DUNN, PAMELA",Unavailable,SAN DIEGO,92109,SAN DIEGO,14,CLOSED,2/5/2020,7/19/2021,17.7,(619) 847-4864,7,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
"MAGANA, ANDREA","MAGANA, ANDREA",Unavailable,ORANGE,92868,ORANGE,14,CLOSED,5/3/2021,7/8/2022,14.4,(714) 654-8143,7,https://www.google.com/maps/search/Unavailable%2C%20ORANGE%2C%20CA
"CONTRERAS, TERESA","CONTRERAS, TERESA",Unavailable,HOLLISTER,95023,SAN BENITO,14,CLOSED,11/8/2022,9/26/2024,22.9,(831) 228-2164,7,https://www.google.com/maps/search/Unavailable%2C%20HOLLISTER%2C%20CA
BOYAJYAN FAMILY CHILD CARE,MARIAM BOYAJYAN,Unavailable,MISSION HILLS,91345,LOS ANGELES,14,CLOSED,4/6/2022,11/1/2023,19.1,(818) 915-4564,7,https://www.google.com/maps/search/Unavailable%2C%20MISSION%20HILLS%2C%20CA
"MCINTOSH, MYRIAN FCCH","MCINTOSH, MYRIAN",Unavailable,AMERICAN CANYON,94503,NAPA,14,CLOSED,9/14/2020,12/9/2020,2.9,(707) 645-1680,7,https://www.google.com/maps/search/Unavailable%2C%20AMERICAN%20CANYON%2C%20CA
LOPOYAN FAMILY CHILD CARE,GAYANE LOPOYAN,Unavailable,GLENDALE,91201,LOS ANGELES,14,CLOSED,8/1/2022,2/23/2024,19.0,(424) 200-8456,7,https://www.google.com/maps/search/Unavailable%2C%20GLENDALE%2C%20CA
"ANDRAL, EDNER FAMILY CHILD CARE","ANDRAL, EDNER",Unavailable,SAN DIEGO,92105,SAN DIEGO,14,CLOSED,12/7/2023,5/12/2025,17.4,(619) 717-4099,7,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
"ALVA, EVANGELINA FAMILY CHILD CARE","ALVA, EVANGELINA",Unavailable,TULARE,93274,TULARE,14,CLOSED,10/18/2021,11/10/2022,12.9,(559) 940-0501,7,https://www.google.com/maps/search/Unavailable%2C%20TULARE%2C%20CA
"NIQOLA, ATOOR FAMILY CHILD CARE","NIQOLA, ATOOR FAMILY CHILD CARE",Unavailable,EL CAJON,92021,SAN DIEGO,14,CLOSED,9/22/2022,7/30/2024,22.6,(619) 212-3697,7,https://www.google.com/maps/search/Unavailable%2C%20EL%20CAJON%2C%20CA
"DUQUE, CLAUDIA FAMILY CHILD CARE","DUQUE, CLAUDIA",Unavailable,SAN DIEGO,92123,SAN DIEGO,14,CLOSED,9/9/2022,5/17/2024,20.5,(858) 380-9102,7,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
WANNA PLAY PLAYCARE,K&M PLAY CORPORATION,26837 BOUQUET CANYON RD,SANTA CLARITA,91350,LOS ANGELES,7,CLOSED,5/7/2021,1/26/2024,33.1,(661) 501-2301,7,https://www.google.com/maps/search/26837%20BOUQUET%20CANYON%20RD%2C%20SANTA%20CLARITA%2C%20CA
"DURAND, LENEE",LENEE DURAND,Unavailable,GRASS VALLEY,95945,NEVADA,14,CLOSED,6/10/2024,4/8/2025,10.1,(530) 368-7520,7,https://www.google.com/maps/search/Unavailable%2C%20GRASS%20VALLEY%2C%20CA
VALLEY NURSERY SCHOOL,KEVIN CHONG YI,6948 WOODMAN AVENUE,VALLEY GLEN,91405,LOS ANGELES,12,CLOSED,12/7/2021,8/24/2023,20.8,(213) 352-3509,7,https://www.google.com/maps/search/6948%20WOODMAN%20AVENUE%2C%20VALLEY%20GLEN%2C%20CA
"ELDEEB, SAHAR","ELDEEB, SAHAR",Unavailable,FREMONT,94536,ALAMEDA,14,CLOSED,2/14/2020,3/3/2021,12.8,(510) 789-6696,7,https://www.google.com/maps/search/Unavailable%2C%20FREMONT%2C%20CA
"LITTLE II, ROBERT C. & CAREY, PAIGE M.","LITTLE II, ROBERT C. & CAREY, PAIGE M.",Unavailable,REDWOOD CITY,94062,SAN MATEO,14,CLOSED,2/17/2022,2/14/2023,12.1,(650) 520-5051,7,https://www.google.com/maps/search/Unavailable%2C%20REDWOOD%20CITY%2C%20CA
SUNSHINE CHRISTIAN ACADEMY S/A,"TINY TOES DAYCARE, LLC",918 SOLANO ST,CORNING,96021,TEHAMA,10,CLOSED,6/13/2023,6/3/2024,11.9,(530) 824-2524,7,https://www.google.com/maps/search/918%20SOLANO%20ST%2C%20CORNING%2C%20CA
ST. PETER LUTHERAN SCHOOL,ST. PETER LUTHERAN SCHOOL,50 S. LOWER SACRAMENTO RD.,LODI,95242,SAN JOAQUIN,220,CLOSED,7/28/2020,5/25/2021,10.0,(209) 368-5929,7,https://www.google.com/maps/search/50%20S.%20LOWER%20SACRAMENTO%20RD.%2C%20LODI%2C%20CA
"ENRIGHT, RITA MAJELLA","ENRIGHT, RITA MAJELLA",Unavailable,SAN MATEO,94401,SAN MATEO,14,CLOSED,8/2/2021,8/10/2022,12.4,(650) 861-2954,7,https://www.google.com/maps/search/Unavailable%2C%20SAN%20MATEO%2C%20CA
"ESMAIL, HALLA","ESMAIL, HALLA",Unavailable,ELK GROVE,95624,SACRAMENTO,12,CLOSED,10/19/2023,9/19/2024,11.2,(408) 606-1742,7,https://www.google.com/maps/search/Unavailable%2C%20ELK%20GROVE%2C%20CA
"ESMAIL, HALLA",HALLA ESMAIL,Unavailable,ELK GROVE,95758,SACRAMENTO,14,CLOSED,9/18/2024,10/10/2024,0.7,(408) 606-1742,7,https://www.google.com/maps/search/Unavailable%2C%20ELK%20GROVE%2C%20CA
"NOORI, SHAFIQA FAMILY CHILD CARE","NOORI, SHAFIQA",Unavailable,EL CAJON,92020,SAN DIEGO,14,CLOSED,9/1/2023,7/11/2024,10.5,(619) 966-8818,7,https://www.google.com/maps/search/Unavailable%2C%20EL%20CAJON%2C%20CA
