facility_name,licensee,facility_address,facility_city,facility_zip,county_name,facility_capacity,facility_status,license_first_date,closed_date,months_operated,facility_telephone_number,risk_score,google_maps_url,phone_clean
ALPHA KIDS ACADEMY LLC-INFANT,ALPHA KIDS ACADEMY LLC,201 RAVENSWOOD AVENUE,MENLO PARK,94025,SAN MATEO,12,LICENSED,7/6/2022,,,(415) 664-8080,5,https://www.google.com/maps/search/201%20RAVENSWOOD%20AVENUE%2C%20MENLO%20PARK%2C%20CA,4156648080
SIDDIQUI FAMILY CHILD CARE,ASMA SIDDIQUI,Unavailable,LOMITA,90717,LOS ANGELES,14,CLOSED,8/31/2021,2/1/2023,17.3,(424) 376-8950,9,https://www.google.com/maps/search/Unavailable%2C%20LOMITA%2C%20CA,4243768950
SIDDIQUI FAMILY CHILD CARE,ASMA SIDDIQUI,Unavailable,LOMITA,90717,LOS ANGELES,14,CLOSED,10/15/2019,9/1/2021,22.9,(424) 376-8950,7,https://www.google.com/maps/search/Unavailable%2C%20LOMITA%2C%20CA,4243768950
"LIEN, SHUANG","LIEN, SHUANG",Unavailable,DUBLIN,94568,ALAMEDA,14,CLOSED,2/10/2022,8/18/2023,18.5,(510) 386-1921,9,https://www.google.com/maps/search/Unavailable%2C%20DUBLIN%2C%20CA,5103861921
"LIEN, SHUANG","LIEN, SHUANG",Unavailable,DUBLIN,94568,ALAMEDA,14,CLOSED,12/13/2023,10/21/2024,10.4,(510) 386-1921,7,https://www.google.com/maps/search/Unavailable%2C%20DUBLIN%2C%20CA,5103861921
"LIEN, SHUANG",SHUANG LIEN,Unavailable,DUBLIN,94568,ALAMEDA,14,CLOSED,10/21/2024,5/5/2025,6.5,(510) 386-1921,7,https://www.google.com/maps/search/Unavailable%2C%20DUBLIN%2C%20CA,5103861921
"HUANG, CUILING","HUANG, CUILING",Unavailable,ELK GROVE,95757,SACRAMENTO,14,CLOSED,9/23/2020,2/4/2021,4.5,(510) 417-6591,9,https://www.google.com/maps/search/Unavailable%2C%20ELK%20GROVE%2C%20CA,5104176591
"HUANG, CUILING",CUILING HUANG,Unavailable,ALAMEDA,94501,ALAMEDA,14,CLOSED,3/29/2021,6/7/2024,38.9,(510) 417-6591,6,https://www.google.com/maps/search/Unavailable%2C%20ALAMEDA%2C%20CA,5104176591
MOUNT VALLEY MONTESSORI INC.,MOUNT VALLEY MONTESSORI INC.,1481 MOWRY AVENUE,FREMONT,94538,ALAMEDA,120,CLOSED,3/1/2023,10/13/2023,7.5,(510) 491-7006,5,https://www.google.com/maps/search/1481%20MOWRY%20AVENUE%2C%20FREMONT%2C%20CA,5104917006
MOUNT VALLEY MONTESSORI INC.,MOUNT VALLEY MONTESSORI INC.,1481 MOWRY AVENUE,FREMONT,94538,ALAMEDA,15,CLOSED,3/1/2023,10/13/2023,7.5,(510) 491-7006,5,https://www.google.com/maps/search/1481%20MOWRY%20AVENUE%2C%20FREMONT%2C%20CA,5104917006
EMERYVILLE CHILD DEVELOPMENT CENTER,CITY OF EMERYVILLE,1070 - 41ST STREET,EMERYVILLE,94608,ALAMEDA,90,CLOSED,1/21/2020,6/12/2020,4.8,(510) 596-4367,7,https://www.google.com/maps/search/1070%20-%2041ST%20STREET%2C%20EMERYVILLE%2C%20CA,5105964367
EMERYVILLE CHILD DEVELOPMENT CENTER,CITY OF EMERYVILLE,1070 - 41ST STREET,EMERYVILLE,94608,ALAMEDA,28,CLOSED,1/21/2020,6/12/2020,4.8,(510) 596-4367,7,https://www.google.com/maps/search/1070%20-%2041ST%20STREET%2C%20EMERYVILLE%2C%20CA,5105964367
BELLA'S BABIES INC.,"BELLA'S BABIES, INC.",5909 CAMDEN STREET,OAKLAND,94605,ALAMEDA,17,CLOSED,6/30/2022,7/14/2023,12.6,(510) 809-7170,7,https://www.google.com/maps/search/5909%20CAMDEN%20STREET%2C%20OAKLAND%2C%20CA,5108097170
"BELLA'S BABIES, INC.","BELLA'S BABIES, INC.",5909 CAMDEN STREET,OAKLAND,94605,ALAMEDA,42,CLOSED,6/30/2022,7/14/2023,12.6,(510) 809-7170,7,https://www.google.com/maps/search/5909%20CAMDEN%20STREET%2C%20OAKLAND%2C%20CA,5108097170
YMCA OF THE EAST BAY - EM DOWNER CENTER,YMCA OF THE EAST BAY - EM DOWNER CENTER,263 S. 20TH STREET,RICHMOND,94804,CONTRA COSTA,30,CLOSED,8/7/2019,6/30/2020,10.9,(510) 848-9092,7,https://www.google.com/maps/search/263%20S.%2020TH%20STREET%2C%20RICHMOND%2C%20CA,5108489092
YMCA OF THE EAST BAY - EM DOWNER CENTER,YMCA OF THE EAST BAY - EM DOWNER CENTER,263 S. 20TH STREET,RICHMOND,94804,CONTRA COSTA,69,CLOSED,8/7/2019,6/30/2020,10.9,(510) 848-9092,7,https://www.google.com/maps/search/263%20S.%2020TH%20STREET%2C%20RICHMOND%2C%20CA,5108489092
YMCA OF THE EAST BAY-JOHN MUIR,YOUNG MEN'S CHRISTIAN ASSOCIATION OF THE EAST BAY,24823 SOTO ROAD,HAYWARD,94544,ALAMEDA,45,CLOSED,1/4/2022,11/21/2022,10.7,(510) 848-9092,9,https://www.google.com/maps/search/24823%20SOTO%20ROAD%2C%20HAYWARD%2C%20CA,5108489092
YMCA OF THE EAST BAY-JOHN MUIR,YOUNG MEN'S CHRISTIAN ASSOCIATION OF THE EAST BAY,24823 SOTO ROAD,HAYWARD,94544,ALAMEDA,32,CLOSED,1/4/2022,11/21/2022,10.7,(510) 848-9092,9,https://www.google.com/maps/search/24823%20SOTO%20ROAD%2C%20HAYWARD%2C%20CA,5108489092
"LEARN AND PLAY MONTESSORI CENTERVILLE, INC.","LEARN AND PLAY MONTESSORI CENTERVILLE, INC.",2550 PERALTA BOULEVARD,FREMONT,94536,ALAMEDA,260,CLOSED,1/24/2023,1/2/2025,23.6,(510) 870-4678,5,https://www.google.com/maps/search/2550%20PERALTA%20BOULEVARD%2C%20FREMONT%2C%20CA,5108704678
"LEARN AND PLAY MONTESSORI CENTERVILLE, INC.","LEARN AND PLAY MONTESSORI CENTERVILLE, INC.",2550 PERALTA BOULEVARD,FREMONT,94536,ALAMEDA,34,CLOSED,1/24/2023,1/2/2025,23.6,(510) 870-4678,5,https://www.google.com/maps/search/2550%20PERALTA%20BOULEVARD%2C%20FREMONT%2C%20CA,5108704678
BRIGHT START MONTESSORI PRESCHOOL,"DE ALWIS, SAMUDRA & DE ALWIS, NAUTIKA",1600 SOLANO AVENUE,ALBANY,94707,ALAMEDA,10,CLOSED,9/28/2022,4/6/2023,6.3,(510) 932-6435,7,https://www.google.com/maps/search/1600%20SOLANO%20AVENUE%2C%20ALBANY%2C%20CA,5109326435
BRIGHT START MONTESSORI PRESCHOOL,"DE ALWIS, SAMUDRA & DE ALWIS NAUTIKA",1600 SOLANO AVENUE,ALBANY,94707,ALAMEDA,30,CLOSED,6/16/2022,1/31/2023,7.6,(510) 932-6435,7,https://www.google.com/maps/search/1600%20SOLANO%20AVENUE%2C%20ALBANY%2C%20CA,5109326435
SWEET PEA ACADEMY,"S&R ENTERPRISES, INC.",3500 CHURN CREEK ROAD,REDDING,96002,SHASTA,4,CLOSED,8/12/2019,8/1/2020,11.8,(530) 221-6488,8,https://www.google.com/maps/search/3500%20CHURN%20CREEK%20ROAD%2C%20REDDING%2C%20CA,5302216488
SWEET PEA ACADEMY PRESCHOOL,"S&R ENTERPRISES, INC.",3500 CHURN CREEK ROAD,REDDING,96002,SHASTA,33,CLOSED,4/29/2019,8/1/2020,15.3,(530) 221-6488,8,https://www.google.com/maps/search/3500%20CHURN%20CREEK%20ROAD%2C%20REDDING%2C%20CA,5302216488
CHICO CHILD DEVELOPMENT CENTER,CHICO CHILD DEVELOPMENT CENTER,115 OAK STREET,CHICO,95928,BUTTE,6,CLOSED,5/13/2022,5/22/2024,24.7,(530) 228-0653,7,https://www.google.com/maps/search/115%20OAK%20STREET%2C%20CHICO%2C%20CA,5302280653
CHICO CHILD DEVELOPMENT CENTER,CHICO CHILD DEVELOPMENT CENTER,115 OAK STREET,CHICO,95928,BUTTE,20,LICENSED,5/13/2022,,,(530) 228-0653,5,https://www.google.com/maps/search/115%20OAK%20STREET%2C%20CHICO%2C%20CA,5302280653
"BENSON, ROBYN","BENSON, ROBYN",Unavailable,WINTERS,95694,YOLO,14,CLOSED,8/10/2020,4/19/2022,20.6,(530) 304-8490,9,https://www.google.com/maps/search/Unavailable%2C%20WINTERS%2C%20CA,5303048490
"BENSON, ROBYN","BENSON, ROBYN",Unavailable,WINTERS,95694,YOLO,14,CLOSED,4/19/2022,5/31/2024,25.8,(530) 304-8490,6,https://www.google.com/maps/search/Unavailable%2C%20WINTERS%2C%20CA,5303048490
LITTLE BUGS LEARNING CENTER,CHARIS YOUTH CENTER,714 WEST MAIN STREET,GRASS VALLEY,95945,NEVADA,24,CLOSED,4/27/2023,8/30/2024,16.4,(530) 477-9800,7,https://www.google.com/maps/search/714%20WEST%20MAIN%20STREET%2C%20GRASS%20VALLEY%2C%20CA,5304779800
LITTLE BUGS LEARNING CENTER,CHARIS YOUTH CENTER,714 WEST MAIN STREET,GRASS VALLEY,95945,NEVADA,16,CLOSED,4/27/2023,8/30/2024,16.4,(530) 477-9800,7,https://www.google.com/maps/search/714%20WEST%20MAIN%20STREET%2C%20GRASS%20VALLEY%2C%20CA,5304779800
"HAGERMAN, JAMIELYN FAMILY CHILD CARE HOME","HAGERMAN, JAMIELYN",Unavailable,REDDING,96003,SHASTA,14,CLOSED,9/22/2020,10/4/2021,12.6,(530) 515-5280,9,https://www.google.com/maps/search/Unavailable%2C%20REDDING%2C%20CA,5305155280
"HAGERMAN, JAMIELYN FAMILY CHILD CARE HOME","HAGERMAN, JAMIELYN",Unavailable,REDDING,96001,SHASTA,14,CLOSED,12/6/2019,9/22/2020,9.7,(530) 515-5280,7,https://www.google.com/maps/search/Unavailable%2C%20REDDING%2C%20CA,5305155280
CREATIVE CUBS PRESCHOOL AND DAYCARE,"PARKER, AMANDA","500 ORIENT STREET, SUITE 170",CHICO,95928,BUTTE,4,CLOSED,5/2/2022,11/27/2023,19.1,(530) 519-5499,9,https://www.google.com/maps/search/500%20ORIENT%20STREET%2C%20SUITE%20170%2C%20CHICO%2C%20CA,5305195499
CREATIVE CUBS PRESCHOOL AND DAYCARE,"PARKER, AMANDA","500 ORIENT, SUITE 180",CHICO,95928,BUTTE,48,CLOSED,7/28/2021,11/27/2023,28.4,(530) 519-5499,6,https://www.google.com/maps/search/500%20ORIENT%2C%20SUITE%20180%2C%20CHICO%2C%20CA,5305195499
CEDARWOOD CHILDREN'S CENTER,BUTTE COUNTY OFFICE OF EDUCATION,"13878 COMPTON DRIVE, ROOM #30",MAGALIA,95954,BUTTE,24,CLOSED,8/14/2023,8/8/2024,12.0,(530) 532-5643,7,https://www.google.com/maps/search/13878%20COMPTON%20DRIVE%2C%20ROOM%20%2330%2C%20MAGALIA%2C%20CA,5305325643
PARADISE RIDGE CHILDREN'S CENTER,BUTTE COUNTY OFFICE OF EDUCATION,6593 PENTZ ROAD,PARADISE,95969,BUTTE,21,CLOSED,9/9/2022,1/2/2025,28.2,(530) 532-5643,6,https://www.google.com/maps/search/6593%20PENTZ%20ROAD%2C%20PARADISE%2C%20CA,5305325643
HAVENSCOURT HIGHER LEARNING CHILDCARE CENTER,OROVILLE SOUTHSIDE COMMUNITY IMPROVEMENT ASSOCIATI,2959 LOWER WYANDOTTE RD,OROVILLE,95966,BUTTE,15,CLOSED,6/15/2023,12/17/2024,18.4,(530) 693-4305,7,https://www.google.com/maps/search/2959%20LOWER%20WYANDOTTE%20RD%2C%20OROVILLE%2C%20CA,5306934305
HAVENSCOURT HIGHER LEARNING CHILDCARE CENTER,OROVILLE SOUTHSIDE COMMUNITY IMPROVEMENT ASSOCIATI,2959 LOWER WYANDOTTE RD,OROVILLE,95966,BUTTE,65,CLOSED,6/15/2023,12/17/2024,18.4,(530) 693-4305,7,https://www.google.com/maps/search/2959%20LOWER%20WYANDOTTE%20RD%2C%20OROVILLE%2C%20CA,5306934305
HAVENSCOURT HIGHER LEARNING CHILDCARE CENTER,OROVILLE SOUTHSIDE COMMUNITY IMPROVEMENT ASSOCIATI,2959 LOWER WYANDOTTE RD,OROVILLE,95966,BUTTE,28,CLOSED,6/15/2023,12/17/2024,18.4,(530) 693-4305,7,https://www.google.com/maps/search/2959%20LOWER%20WYANDOTTE%20RD%2C%20OROVILLE%2C%20CA,5306934305
"CARBIN, KRIS FAMILY CHILD CARE HOME","CARBIN, KRIS",Unavailable,REDDING,96002,SHASTA,14,CLOSED,7/10/2020,1/3/2022,18.1,(530) 710-7508,9,https://www.google.com/maps/search/Unavailable%2C%20REDDING%2C%20CA,5307107508
"CARBIN, KRISTINA FAMILY CHILD CARE HOME","CARBIN, KRISTINA",Unavailable,REDDING,96002,SHASTA,14,CLOSED,7/17/2023,4/22/2024,9.3,(530) 710-7508,7,https://www.google.com/maps/search/Unavailable%2C%20REDDING%2C%20CA,5307107508
"MCKNIGHT, RACHAIEL",RACHAIEL MCKNIGHT,Unavailable,NEVADA CITY,95959,NEVADA,14,CLOSED,6/5/2023,4/19/2024,10.6,(530) 802-1798,7,https://www.google.com/maps/search/Unavailable%2C%20NEVADA%20CITY%2C%20CA,5308021798
"MCKNIGHT, RACHAIEL","MCKNIGHT, RACHAIEL",Unavailable,NEVADA CITY,95959,NEVADA,14,CLOSED,5/10/2021,6/5/2023,25.2,(530) 802-1798,6,https://www.google.com/maps/search/Unavailable%2C%20NEVADA%20CITY%2C%20CA,5308021798
STORYBOOK SCHOOLHOUSE INFANT,"BRIGHT FUTURES CHILDCARE CENTER, INC",794 E 3RD AVE,CHICO,95926,BUTTE,12,CLOSED,1/27/2023,4/8/2025,26.7,(530) 895-8793,5,https://www.google.com/maps/search/794%20E%203RD%20AVE%2C%20CHICO%2C%20CA,5308958793
STORYBOOK SCHOOLHOUSE: PRESCHOOL & DAYCARE,"BRIGHT FUTURES CHILDCARE CENTERS, INC.",794 E. 3RD AVE,CHICO,95926,BUTTE,51,CLOSED,9/27/2022,4/8/2025,30.8,(530) 895-8793,7,https://www.google.com/maps/search/794%20E.%203RD%20AVE%2C%20CHICO%2C%20CA,5308958793
STORYBOOK SCHOOLHOUSE: PRESCHOOL & DAYCARE,"BRIGHT FUTURES CHILDCARE CENTERS, INC.",794 E 3RD AVE,CHICO,95926,BUTTE,65,CLOSED,9/27/2022,4/8/2025,30.8,(530) 895-8793,7,https://www.google.com/maps/search/794%20E%203RD%20AVE%2C%20CHICO%2C%20CA,5308958793
YOUNG WORLD: CHILDREN'S LEARNING CENTER,"BREWER FAMILY ENTERPRISES, INC.",750 SIERRA AVE,CLOVIS,93612,FRESNO,28,CLOSED,10/15/2020,3/17/2024,41.6,(559) 298-7800,6,https://www.google.com/maps/search/750%20SIERRA%20AVE%2C%20CLOVIS%2C%20CA,5592987800
YOUNG WORLD: CHILDREN'S LEARNING CENTER,"BREWER FAMILY ENTERPRISES, INC.",750 SIERRA AVE,CLOVIS,93612,FRESNO,34,CLOSED,10/15/2020,3/17/2024,41.6,(559) 298-7800,6,https://www.google.com/maps/search/750%20SIERRA%20AVE%2C%20CLOVIS%2C%20CA,5592987800
"GARCIA, LYDIA FAMILY CHILD CARE","GARCIA, LYDIA",Unavailable,VISALIA,93291,TULARE,14,CLOSED,5/31/2022,11/7/2023,17.5,(559) 805-4704,9,https://www.google.com/maps/search/Unavailable%2C%20VISALIA%2C%20CA,5598054704
"GARCIA, LYDIA FAMILY CHILD CARE","GARCIA, LYDIA",Unavailable,VISALIA,93292,TULARE,14,CLOSED,10/2/2020,5/31/2022,20.2,(559) 805-4704,9,https://www.google.com/maps/search/Unavailable%2C%20VISALIA%2C%20CA,5598054704
RASHID FAMILY CHILD CARE,SHAMA RASHID,Unavailable,SAN PEDRO,90732,LOS ANGELES,14,CLOSED,4/26/2022,3/1/2023,10.3,(562) 337-4502,7,https://www.google.com/maps/search/Unavailable%2C%20SAN%20PEDRO%2C%20CA,5623374502
RASHID FAMILY CHILD CARE,SHAMA RASHID,Unavailable,SAN PEDRO,90732,LOS ANGELES,14,CLOSED,12/10/2018,10/1/2020,22.0,(562) 337-4502,5,https://www.google.com/maps/search/Unavailable%2C%20SAN%20PEDRO%2C%20CA,5623374502
COLUMBIA PLAZA EARLY CHILDHOOD EDUCATION CENTER,"PLAZA DE LA RAZA CHILD DEVELOPMENT SERVICES, INC.",12830 COLUMBIA WAY (CLARK),DOWNEY,90242,LOS ANGELES,84,CLOSED,7/1/2002,9/27/2023,258.6,(562) 803-6229,5,https://www.google.com/maps/search/12830%20COLUMBIA%20WAY%20%28CLARK%29%2C%20DOWNEY%2C%20CA,5628036229
COLUMBIA PLAZA EARLY CHILDHOOD EDUCATION CENTER,"PLAZA DE LA RAZA CHILD DEVELOPMENT SERVICES, INC,.",12830 COLUMBIA WAY (CLARK),DOWNEY,90242,LOS ANGELES,37,CLOSED,7/1/2002,9/27/2023,258.6,(562) 803-6229,5,https://www.google.com/maps/search/12830%20COLUMBIA%20WAY%20%28CLARK%29%2C%20DOWNEY%2C%20CA,5628036229
BRIGHT TIME CHILD CARE LEARNING CENTER,FUTURE CARE CHILD LEARNING CENTER,6504 E. SOUTH STREET,LAKEWOOD,90713,LOS ANGELES,19,CLOSED,12/18/1996,9/30/2022,313.9,(562) 867-8583,5,https://www.google.com/maps/search/6504%20E.%20SOUTH%20STREET%2C%20LAKEWOOD%2C%20CA,5628678583
BRIGHT TIME CHILD CARE LEARNING CENTER,FUTURE CARE CHILD LEARNING CENTER,6504 E. SOUTH STREET,LAKEWOOD,90713,LOS ANGELES,160,CLOSED,12/18/1996,9/30/2022,313.9,(562) 867-8583,5,https://www.google.com/maps/search/6504%20E.%20SOUTH%20STREET%2C%20LAKEWOOD%2C%20CA,5628678583
BRIGHT TIME CHILD CARE LEARNING CENTER,"FUTURE CARE CHILD LEARNING CENTER, INC",6504 E. SOUTH STREET,LAKEWOOD,90713,LOS ANGELES,15,CLOSED,6/19/2000,9/30/2022,271.3,(562) 867-8583,5,https://www.google.com/maps/search/6504%20E.%20SOUTH%20STREET%2C%20LAKEWOOD%2C%20CA,5628678583
CHILDREN'S LEARNING CENTER,CHILDREN'S LEARNING CENTER LLC,"5005 WILLOWS ROAD, SUITE 229",ALPINE,91901,SAN DIEGO,20,CLOSED,,7/7/2021,,(619) 213-9356,5,https://www.google.com/maps/search/5005%20WILLOWS%20ROAD%2C%20SUITE%20229%2C%20ALPINE%2C%20CA,6192139356
CHILDREN'S LEARNING INFANT CENTER,CHILDREN'S LEARNING CENTER LLC,"5005 WILLOWS ROAD, SUITE 229",ALPINE,91901,SAN DIEGO,10,CLOSED,,7/7/2021,,(619) 213-9356,5,https://www.google.com/maps/search/5005%20WILLOWS%20ROAD%2C%20SUITE%20229%2C%20ALPINE%2C%20CA,6192139356
MOUNTAIN VALLEY INFANT,WILWILLI FAMILY LLC,1832 ALPINE BOULEVARD,ALPINE,91901,SAN DIEGO,30,CLOSED,8/7/2019,2/11/2021,18.5,(619) 213-9547,5,https://www.google.com/maps/search/1832%20ALPINE%20BOULEVARD%2C%20ALPINE%2C%20CA,6192139547
MOUNTAIN VALLEY PRESCHOOL,WILWILLI FAMILY LLC,1832 ALPINE BOULEVARD,ALPINE,91901,SAN DIEGO,15,CLOSED,8/5/2019,2/11/2021,18.5,(619) 213-9547,5,https://www.google.com/maps/search/1832%20ALPINE%20BOULEVARD%2C%20ALPINE%2C%20CA,6192139547
KINDERLAND MONTESSORI - INFANT,"VALENCIA, CAROLINA & VANESSA",625 OTAY LAKES ROAD,CHULA VISTA,91913,SAN DIEGO,12,CLOSED,10/5/2020,4/1/2025,54.6,(619) 479-4007,6,https://www.google.com/maps/search/625%20OTAY%20LAKES%20ROAD%2C%20CHULA%20VISTA%2C%20CA,6194794007
KINDERLAND MONTESSORI - PRESCHOOL,"VALENCIA, CAROLINA & VANESSA",625 OTAY LAKES ROAD,CHULA VISTA,91913,SAN DIEGO,120,CLOSED,10/5/2020,4/1/2025,54.6,(619) 479-4007,6,https://www.google.com/maps/search/625%20OTAY%20LAKES%20ROAD%2C%20CHULA%20VISTA%2C%20CA,6194794007
KINDERLAND MONTESSORI - SCHOOL AGE,"VALENCIA, CAROLINA & VANESSA",625 OTAY LAKES ROAD,CHULA VISTA,91913,SAN DIEGO,48,CLOSED,10/5/2020,4/1/2025,54.6,(619) 479-4007,6,https://www.google.com/maps/search/625%20OTAY%20LAKES%20ROAD%2C%20CHULA%20VISTA%2C%20CA,6194794007
BARRY TED MOSKOWITZ CHILD CARE CENTER,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC.","880 FRONT STREET, SUITE 1295",SAN DIEGO,92101,SAN DIEGO,24,CLOSED,7/3/2018,9/15/2020,26.8,(619) 557-3431,5,https://www.google.com/maps/search/880%20FRONT%20STREET%2C%20SUITE%201295%2C%20SAN%20DIEGO%2C%20CA,6195573431
BARRY TED MOSKOWITZ CHILD CARE CENTER,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC.","880 FRONT STREET, SUITE 1295",SAN DIEGO,92101,SAN DIEGO,58,CLOSED,7/3/2018,9/15/2020,26.8,(619) 557-3431,5,https://www.google.com/maps/search/880%20FRONT%20STREET%2C%20SUITE%201295%2C%20SAN%20DIEGO%2C%20CA,6195573431
"LAGRONE WHITE, VERA FAMILY CHILD CARE","LAGRONE WHITE, VERA",Unavailable,SAN DIEGO,92114,SAN DIEGO,14,CLOSED,12/30/2022,10/1/2024,21.4,(619) 632-8117,9,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA,6196328117
"LAGRONE-WHITE, VERA FAMILY CHILD CARE","LAGRONE-WHITE, VERA",Unavailable,SAN DIEGO,92114,SAN DIEGO,14,CLOSED,8/18/2020,12/30/2022,28.8,(619) 632-8117,6,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA,6196328117
"ANDRAL, EDNER FAMILY CHILD CARE","ANDRAL, EDNER",Unavailable,SAN DIEGO,92105,SAN DIEGO,14,CLOSED,6/1/2022,12/7/2023,18.5,(619) 717-4099,9,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA,6197174099
"ANDRAL, EDNER FAMILY CHILD CARE","ANDRAL, EDNER",Unavailable,SAN DIEGO,92105,SAN DIEGO,14,CLOSED,12/7/2023,5/12/2025,17.4,(619) 717-4099,7,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA,6197174099
SOLID START ACADEMY,SOLID START ACADEMY LLC,8964 NORTH MAGNOLIA AVENUE,SANTEE,92071,SAN DIEGO,37,LICENSED,12/29/2022,,,(619) 850-1568,5,https://www.google.com/maps/search/8964%20NORTH%20MAGNOLIA%20AVENUE%2C%20SANTEE%2C%20CA,6198501568
SOLID START ACADEMY,SOLID START ACADEMY LLC,8964 NORTH MAGNOLIA AVENUE,SANTEE,92071,SAN DIEGO,9,LICENSED,12/29/2022,,,(619) 850-1568,5,https://www.google.com/maps/search/8964%20NORTH%20MAGNOLIA%20AVENUE%2C%20SANTEE%2C%20CA,6198501568
"GASTELUM, LAURA FAMILY CHILD CARE","GASTELUM, LAURA",Unavailable,SAN DIEGO,92154,SAN DIEGO,14,CLOSED,4/19/2023,11/13/2023,6.9,(619) 862-9166,7,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA,6198629166
"GASTELUM, LAURA FAMILY CHILD CARE","GASTELUM, LAURA",Unavailable,SAN DIEGO,92154,SAN DIEGO,14,CLOSED,2/24/2021,4/19/2023,26.1,(619) 862-9166,6,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA,6198629166
MEDINA LEARNING CENTER LLC,MEDINA LEARNING CENTER LLC,6066 1/2 UNIVERSITY AVENUE,SAN DIEGO,92115,SAN DIEGO,15,CLOSED,,11/18/2020,,(619) 906-4177,5,https://www.google.com/maps/search/6066%201/2%20UNIVERSITY%20AVENUE%2C%20SAN%20DIEGO%2C%20CA,6199064177
MEDINA LEARNING CENTER LLC,"MEDINA LEARNING CENTER, LLC.",6066 1/2 UNIVERSITY AVENUE,SAN DIEGO,92115,SAN DIEGO,15,LICENSED,11/15/2021,,,(619) 906-4177,5,https://www.google.com/maps/search/6066%201/2%20UNIVERSITY%20AVENUE%2C%20SAN%20DIEGO%2C%20CA,6199064177
"NOORI, SHAFIQA FAMILY CHILD CARE","NOORI, SHAFIQA",Unavailable,EL CAJON,92020,SAN DIEGO,14,CLOSED,11/16/2021,9/1/2023,21.8,(619) 966-8818,9,https://www.google.com/maps/search/Unavailable%2C%20EL%20CAJON%2C%20CA,6199668818
"NOORI, SHAFIQA FAMILY CHILD CARE","NOORI, SHAFIQA",Unavailable,EL CAJON,92020,SAN DIEGO,14,CLOSED,9/1/2023,7/11/2024,10.5,(619) 966-8818,7,https://www.google.com/maps/search/Unavailable%2C%20EL%20CAJON%2C%20CA,6199668818
HAPPY CAMPERS LEARNING CENTER,HAPPYCAMPERS LEARNING CENTER,14035 FRANCISQUITO,BALDWIN PARK,91706,LOS ANGELES,84,CLOSED,7/5/1995,8/17/2021,318.0,(626) 337-7254,5,https://www.google.com/maps/search/14035%20FRANCISQUITO%2C%20BALDWIN%20PARK%2C%20CA,6263377254
HAPPY CAMPERS LEARNING CENTER,HAPPY CAMPERS LEARNING CENTER,14035 FRANCISQUITO,BALDWIN PARK,91706,LOS ANGELES,24,CLOSED,8/30/1995,8/17/2021,316.1,(626) 337-7254,5,https://www.google.com/maps/search/14035%20FRANCISQUITO%2C%20BALDWIN%20PARK%2C%20CA,6263377254
HAPPYCAMPERS LEARNING CENTER,HAPPYCAMPERS LEARNING CENTER,14035 FRANCISQUITO,BALDWIN PARK,91706,LOS ANGELES,35,CLOSED,7/5/1995,8/17/2021,318.0,(626) 337-7254,5,https://www.google.com/maps/search/14035%20FRANCISQUITO%2C%20BALDWIN%20PARK%2C%20CA,6263377254
EVERGREEN MONTESSORI ACADEMY,AKO CORP,2038 EAST FOOTHILL BLVD,PASADENA,91107,LOS ANGELES,52,CLOSED,6/8/2023,7/29/2024,13.9,(626) 460-0468,7,https://www.google.com/maps/search/2038%20EAST%20FOOTHILL%20BLVD%2C%20PASADENA%2C%20CA,6264600468
"EVERGREEN MONTESSORI ACADEMY, LLC","EVERGREEN MONTESSORI ACADEMY, LLC",2038 E. FOOTHILL BLVD,PASADENA,91107,LOS ANGELES,52,CLOSED,5/26/2021,6/7/2023,24.7,(626) 460-0468,6,https://www.google.com/maps/search/2038%20E.%20FOOTHILL%20BLVD%2C%20PASADENA%2C%20CA,6264600468
"ATLANOVA, ALEXANDRA","ATLANOVA, ALEXANDRA",Unavailable,FOSTER CITY,94404,SAN MATEO,14,CLOSED,1/30/2024,4/16/2025,14.7,(646) 258-1158,7,https://www.google.com/maps/search/Unavailable%2C%20FOSTER%20CITY%2C%20CA,6462581158
"ZAGRAI, TATIANA & ATLANOVA, ALEXANDRA","ZAGRAI, TATIANA & ATLANOVA, ALEXANDRA",Unavailable,FOSTER CITY,94404,SAN MATEO,14,CLOSED,8/7/2020,1/30/2024,42.4,(646) 258-1158,6,https://www.google.com/maps/search/Unavailable%2C%20FOSTER%20CITY%2C%20CA,6462581158
"HUNG, HUI LIN","HUNG, HUI LIN",Unavailable,SAN MATEO,94403,SAN MATEO,14,CLOSED,6/24/2021,4/28/2023,22.4,(650) 208-1063,9,https://www.google.com/maps/search/Unavailable%2C%20SAN%20MATEO%2C%20CA,6502081063
