facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date
DAY CARE CENTER,103808846,BRIGHTEN ACADEMY PRESCHOOL,"PETERSON, KRISTIN","MCKELVEY, TARYN",(559) 298-7880,290 N. VILLA AVENUE,CLOVIS,CA,93612,FRESNO,04,134,LICENSED,5/20/2014,,05252025
DAY CARE CENTER,103808517,BRIGHTEN ACADEMY PRESCHOOL,"BRIGHTEN ACADEMY PRESCHOOL, INC.","PETERSON, KRISTIN",(559) 294-1310,1825 AUSTIN AVE.,CLOVIS,CA,93611,FRESNO,04,162,LICENSED,3/20/2009,,05252025
DAY CARE CENTER,197493322,"BRIGHTER DAYS EARLY LEARNING, LLC.","BRIGHTER DAYS EARLY LEARNING, LLC",DARLENE ESTRADA,(310) 940-4128,1648 W. 9TH STREET,SAN PEDRO,CA,90732,LOS ANGELES,30,54,LICENSED,5/10/2017,,05252025
DAY CARE CENTER,197492948,"BRIGHTER DAYS MONTESSORI SCHOOL, LLC","BRIGHTER DAYS MONTESSORI SCHOOL, LLC","TERZOLI, PAOLA",(310) 831-2600,1903 SUMMERLAND STREET,RANCHO PALOS VERDES,CA,90275,LOS ANGELES,30,80,LICENSED,7/25/2016,,05252025
DAY CARE CENTER,434416448,BRIGHTER TOMORROW MONTESSORI PRESCHOOL,MOUNTAIN VIEW THREE LLC,JOYCE BROWN,(408) 979-1164,2466 ALMADEN ROAD,SAN JOSE,CA,95125,SANTA CLARA,07,104,LICENSED,11/2/2020,,05252025
DAY CARE CENTER,191806768,BRIGHTHORIZONS CHILDCARECENTER AT PARAMOUNTSTUDIOS,"BRIGHT HORIZONS CHILDREN'S CENTERS, INC.",MARY JANE ESCORPISO,(323) 956-3973,5555 MELROSE AVE.,LOS ANGELES,CA,90038,LOS ANGELES,33,19,LICENSED,12/22/1993,,05252025
DAY CARE CENTER,434413153,BRIGHTSTAR CHRISTIAN ACADEMY PRESCHOOL,ASSYRIAN EVANGELICAL CHURCH OF SAN JOSE & BAY AREA,JACQUELINE ALKHASEH,(408) 266-7600,1513 KOOSER ROAD,SAN JOSE,CA,95118,SANTA CLARA,07,97,LICENSED,6/27/2014,,05252025
DAY CARE CENTER,434417106,BRILLIANT MINDS EARLY LEARNING,BRILLIANT MINDS EARLY LEARNING CDC LLC,LAKISHA HARRIS,(408) 460-6045,390 NORTH RIDGE VISTA AVENUE,SAN JOSE,CA,95127,SANTA CLARA,07,36,CLOSED,,8/2/2023,05252025
DAY CARE CENTER,515406354,BRITTAN STATE PRESCHOOL,BRITTAN SCHOOL DISTRICT,"KAELIN, STACI",(530) 822-5155,"2340 PEPPER STREET, ROOM 27",SUTTER,CA,95982,SUTTER,13,22,CLOSED,12/11/2012,6/15/2022,05252025
DAY CARE CENTER,197416691,BROAD AVENUE ELEMENTARY SCHOOL CSPP,LAUSD/EARLY CHILDHOOD EDUCATION,"EVER-ALLEN, DEBORAH",(310) 835-3118,24815 BROAD AVENUE RM.13,WILMINGTON,CA,90744,LOS ANGELES,58,22,LICENSED,3/16/2010,,05252025
DAY CARE CENTER,191600090,BROADACRES PRE-SCHOOL,"BETTIE BROWN, & WILLIAM STARK BROWN",BETTIE BROWN,(310) 375-7301,4915 PALOS VERDES DRIVE NORTH,ROLLING HILLS ESTATE,CA,90274,LOS ANGELES,30,24,LICENSED,9/14/1995,,05252025
DAY CARE CENTER,191500460,"BROADOAKS SCHOOL OF WHITTIER COLLEGE, THE",WHITTIER COLLEGE,KORI VARTANIAN,(562) 907-4250,13406 PHILADELPHIA,WHITTIER,CA,90608,LOS ANGELES,33,75,LICENSED,9/1/1993,,05252025
DAY CARE CENTER,153810030,BROADWAY CHILD DEVELOPMENT CENTER,COMMUNITY ACTION PARTNERSHIP OF KERN,MARY ANN MOONEY,(661) 336-5236,929 BROADWAY AVE,WASCO,CA,93280,KERN,57,44,LICENSED,7/27/2018,,05252025
DAY CARE CENTER,013411080,"BROADWAY CHILDREN'S SCHOOL OF OAKLAND, INC.","BROADWAY CHILDREN'S SCHOOL OF OAKLAND, INC.","DAVIS, DIANA",(510) 763-9337,394 ADAMS STREET,OAKLAND,CA,94610,ALAMEDA,02,42,LICENSED,8/28/1995,,05252025
DAY CARE CENTER,343620256,BROOKFIELD PRESCHOOL,BROOKFIELD SCHOOL INC,"DAY, TATANISHA",(916) 442-1255,6115 RIVERSIDE BLVD.,SACRAMENTO,CA,95831,SACRAMENTO,03,72,LICENSED,1/8/2015,,05252025
DAY CARE CENTER,191870549,BROOKLYN AVENUE EARLY EDUCATION CENTER,LAUSD/EARLY CHILDHOOD EDUCATION,JESSICA ROBLES-LOGAN,(323) 269-4085,329 N. ARIZONA AVE,LOS ANGELES,CA,90022,LOS ANGELES,33,114,LICENSED,8/2/1994,,05252025
DAY CARE CENTER,233004124,BROOKSIDE PRESCHOOL,WILLITS UNIFIED SCHOOL DISTRICT,CHELSEA RODRIGUEZ,(707) 459-5385,SPRUCE AND LINCOLN WAY,WILLITS,CA,95490,MENDOCINO,01,20,LICENSED,4/23/2002,,05252025
DAY CARE CENTER,393603806,BROOKSIDE STATE PRESCHOOL,LINCOLN UNIFIED SCHOOL DISTRICT,"ASPLUND, TERRY",(209) 953-8642,"2962 BROOKSIDE ROAD, # 601",STOCKTON,CA,95219,SAN JOAQUIN,53,24,INACTIVE,10/23/1998,,05252025
DAY CARE CENTER,153808466,BROWNING ROAD STATE PRESCHOOL,"VDA, INC.","HERNANDEZ, MARIA",(661) 792-3400,410 E. PERKINS AVENUE,MCFARLAND,CA,93250,KERN,57,20,LICENSED,7/23/2008,,05252025
DAY CARE CENTER,515405080,BROWNS ELEMENTARY PRESCHOOL,BROWNS ELEMENTARY SCHOOL DISTRICT,"COLBRIDGE, KERRIE",(530) 633-2523,"1248 PACIFIC AVENUE, ROOM A",RIO OSO,CA,95674,SUTTER,13,30,CLOSED,8/23/2007,6/30/2024,05252025
DAY CARE CENTER,283009244,BROWNS VALLEY PRESCHOOL,"BROWNS VALLEY PRESCHOOL, LLC","WOODS, CECILIA",(707) 252-1508,1029 MATT DRIVE,NAPA,CA,94558,NAPA,01,40,LICENSED,7/1/2016,,05252025
DAY CARE CENTER,490105414,"BRUSH CREEK FAMILY SERVICES, INC.","BRUSH CREEK FAMILY SERVICES, INC.","MELLOR, TESS",(707) 539-1612,4657 BADGER ROAD,SANTA ROSA,CA,95409,SONOMA,01,45,LICENSED,10/14/1983,,05252025
DAY CARE CENTER,490111657,BRUSH CREEK MONTESSORI SCHOOL,BRUSH CREEK MONTESSORI SCHOOL,SUSAN MORRELL,(707) 539-7980,1569 BRUSH CREEK ROAD,SANTA ROSA,CA,95404,SONOMA,01,78,CLOSED,8/27/1993,7/30/2024,05252025
DAY CARE CENTER,013418986,BUBBLY TOTS LEARNING CENTER,"SINGH, SONI","SINGH, SONI",(510) 351-0300,963 MANOR BLVD.,SAN LEANDRO,CA,94579,ALAMEDA,52,71,LICENSED,8/23/2007,,05252025
DAY CARE CENTER,093612133,BUCKEYE PRESCHOOL,EL DORADO COUNTY OFFICE OF EDUCATION,HALL/CORE,(530) 677-7216,4561 BUCKEYE ROAD,SHINGLE SPRINGS,CA,95682,EL DORADO,03,24,LICENSED,10/10/2006,,05252025
DAY CARE CENTER,451370383,BUCKEYE SCHOOL OF ARTS CHILDREN CENTER,SHASTA COUNTY OFFICE OF EDUCATION,"BARRY, KATHY",(530) 225-0356,3499 HIATT DRIVE,REDDING,CA,96003,SHASTA,13,27,CLOSED,1/9/1994,1/21/2025,05252025
DAY CARE CENTER,455401379,BUCKEYE SCHOOL OF ARTS STATE PRESCHOOL,SHASTA COUNTY OFFICE OF EDUCATION,"BARRY, KATHY",(530) 225-0355,3499 HIATT DRIVE,REDDING,CA,96003,SHASTA,13,48,CLOSED,8/7/1997,7/31/2023,05252025
DAY CARE CENTER,197493684,BUCKNER EDUCATIONAL CHRISTIAN ACADEMY,BUCKNER FOUNDATION,"BUCKNER, LESLIE",(323) 758-8433,2114 W. MANCHESTER AVENUE,LOS ANGELES,CA,90047,LOS ANGELES,30,43,LICENSED,3/27/2018,,05252025
DAY CARE CENTER,197419912,BUCKNER EDUCATIONAL CHRISTIAN ACADEMY,BUCKNER FOUNDATION,"BUCKNER, LESLIE R.",(323) 595-2937,6801 S. WESTERN AVE,LOS ANGELES,CA,90047,LOS ANGELES,30,54,INACTIVE,2/5/2016,,05252025
DAY CARE CENTER,197415049,BUCKNER EDUCATIONAL CHRISTIAN ACADEMY,BUCKNER FOUNDATION,L. BUCKNER,(323) 789-6154,2330 W. FLORENCE AVENUE,LOS ANGELES,CA,90043,LOS ANGELES,58,34,LICENSED,6/24/2008,,05252025
DAY CARE CENTER,198020096,BUDDIE & ME PRESCHOOL,BUDDIE & ME PRESCHOOL INC.,JULIE JIHYUN CHO,(213) 382-3131,4270 W. 6TH STREET,LOS ANGELES,CA,90020,LOS ANGELES,33,45,LICENSED,6/18/2019,,05252025
DAY CARE CENTER,376300342,BUDS AND BLOSSOMS PRESCHOOL LLC,"BOLES,NIKKI","BOLES,NIKKI",(760) 645-3044,420 N EL CAMINO REAL SUITE 102,OCEANSIDE,CA,92058,SAN DIEGO,10,60,CLOSED,,10/20/2021,05252025
DAY CARE CENTER,376300213,BUDS & BLOSSOMS PRESCHOOL,"BOLES, NIKKI",NIKKI BOLES,(760) 645-3044,2809 SOUTH MISSION ROAD,FALLBROOK,CA,92028,SAN DIEGO,10,57,LICENSED,11/1/2020,,05252025
DAY CARE CENTER,380504038,BUEN DIA FAMILY SCHOOL,BUEN DIA CORPORATION/BUEN DIA FAMILY SCHOOL,"ALDAZ, TERESA",(415) 431-3535,589 GUERRERO ST.,SAN FRANCISCO,CA,94110,SAN FRANCISCO,05,30,LICENSED,8/10/1982,,05252025
DAY CARE CENTER,304270533,BUENA PARK HEAD START,ORANGE COUNTY HEAD START,CELIA FRANCO,(714) 521-1909,6725 DALE STREET,BUENA PARK,CA,90621,ORANGE,06,60,LICENSED,10/30/1998,,05252025
DAY CARE CENTER,304371576,BUENA PARK LEARNING CENTER PRESCHOOL,BUENA PARK SCHOOL DISTRICT,"BECKELHEIMER, MARY",(714) 994-9381,8201 COUNTRY CLUB DRIVE,BUENA PARK,CA,90621,ORANGE,06,24,LICENSED,10/13/2022,,05252025
DAY CARE CENTER,300614159,BUENA PARK LOVELY PRESCHOOL,"JOY MIKYONG, HAN","JOY MIKYONG, HAN",(714) 821-4325,8771 VALLEY VIEW ST.,BUENA PARK,CA,90620,ORANGE,06,29,LICENSED,3/18/1994,,05252025
DAY CARE CENTER,304371474,BUENA PARK MONTESSORI ACADEMY,SUNLAND BUENA PARK MONTESSORI INC.,ROXANA C. DOMINGUEZ,(714) 821-7800,6221 LINCOLN AVENUE,BUENA PARK,CA,90620,ORANGE,06,78,CLOSED,7/29/2021,11/19/2024,05252025
DAY CARE CENTER,440709992,BUENA VISTA CHILDREN'S CENTER,PAJARO VALLEY UNIFIED SCHOOL DISTRICT,CLAUDIA SOLANO,(831) 728-6428,113 TIERRA ALTA DR. #201&#203,WATSONVILLE,CA,95076,SANTA CRUZ,07,66,LICENSED,7/13/1988,,05252025
DAY CARE CENTER,153801390,BUENA VISTA MIGRANT HEAD START,COMM. ACTION PARTNERSHIP OF SAN LUIS OBISPO CO.INC,CRISTINA MACHUCA,(661) 845-7726,8325 BUENA VISTA BLVD.,LAMONT,CA,93241,KERN,12,53,LICENSED,6/12/1998,,05252025
DAY CARE CENTER,198016601,BUFFUM HEAD START,LONG BEACH UNIFIED SCHOOL DISTRICT,RUTH CABRAL,(562) 498-7058,2350 XIMENO AVENUE,LONG BEACH,CA,90815,LOS ANGELES,54,40,LICENSED,9/21/2011,,05252025
DAY CARE CENTER,192006405,BUFORD STATE PRESCHOOL,LENNOX SCHOOL DISTRICT,"RAYOR, LORI",(310) 680-3500,10915 S. FELTON AVENUE,LENNOX,CA,90304,LOS ANGELES,30,105,LICENSED,2/13/2002,,05252025
DAY CARE CENTER,243808724,BUHACH PRESCHOOL,"GAMA, JUAN & MONIQUE","GAMA, JUAN",(209) 489-2008,2606 N. BUHACH ROAD,ATWATER,CA,95301,MERCED,04,89,LICENSED,4/4/2012,,05252025
DAY CARE CENTER,243810073,BUHACH PRESCHOOL,JM3 HOLDINGS LLC,JUAN GAMA,(209) 489-2008,760 LOUGHBOROUGH DR,MERCED,CA,95348,MERCED,04,98,LICENSED,2/4/2020,,05252025
DAY CARE CENTER,243808934,BUHACH PRESCHOOL - MERCED,"GAMA, JUAN & GAMA, MONIQUE",ROBERTA HEREDIA,(209) 626-5741,3190 COLLINS DR,MERCED,CA,95348,MERCED,04,135,LICENSED,12/10/2015,,05252025
DAY CARE CENTER,434413070,BUILDING BLOCK PRESCHOOL,BUILDING BLOCK PRESCHOOL,JUO-CHIH YAO,(408) 996-2477,1073 S. DE ANZA BLVD.,SAN JOSE,CA,95129,SANTA CLARA,07,20,LICENSED,12/26/2012,,05252025
DAY CARE CENTER,013422481,BUILDING BLOCKS,SENECA FAMILY OF AGENCIES,"FLETCHER, DALLAS",(510) 434-7990,3695 HIGH ST.,OAKLAND,CA,94619,ALAMEDA,02,18,CLOSED,9/5/2017,9/28/2021,05252025
DAY CARE CENTER,197419123,BUILDING BLOCKS CHRISTIAN ACADEMY,HOPE EVANGELICAL LUTHERAN CHURCH,"ORR, KAYLEN",(310) 397-7500,3734 CENTINELA AVENUE,LOS ANGELES,CA,90066,LOS ANGELES,30,35,LICENSED,2/12/2014,,05252025
DAY CARE CENTER,153808853,BUILDING BLOCKS OF GRACE,GRACE BAPTIST CHURCH,"GAUSE, LEAANN",(661) 589-0424,2550 JEWETTA,BAKERSFIELD,CA,93312,KERN,57,50,LICENSED,9/2/2014,,05252025
DAY CARE CENTER,304371530,BUILDING BLOCKS PRESCHOOL,"NGUYEN, HUONG LIEN","NGUYEN, HUONG L.",(714) 251-0128,8022 LA MONTE ROAD,STANTON,CA,90680,ORANGE,06,66,CLOSED,,10/13/2021,05252025
DAY CARE CENTER,525406947,BUILDING BLOCKS PRESCHOOL,"ORDUNO, DAYNNIS","ORDUNO, DAYNNIS",(530) 209-3978,1920 PARK AVE.,RED BLUFF,CA,96080,TEHAMA,13,30,LICENSED,9/30/2016,,05252025
DAY CARE CENTER,493003701,"BUILDING BLOCKS PRESCHOOL, INC","BUILDING BLOCKS PRESCHOOL, INC","THURSTON, MARY JO",(707) 792-2280,228 ADOBE ROAD,PENNGROVE,CA,94951,SONOMA,01,47,CLOSED,3/20/2001,9/10/2020,05252025
DAY CARE CENTER,163808877,BUILDING BLOCKS TO LEARNING CHILDCARE,"PUGA, VERONICA","PUGA, VERONICA",(559) 772-8400,10769 14TH AVE.,ARMONA,CA,93202,KINGS,57,34,LICENSED,10/27/2014,,05252025
DAY CARE CENTER,073407473,BUILDING BRIDGES PRESCHOOL,"SWIMMER, SANDRA M.","SWIMMER, SANDRA",(925) 283-6792,1003 CAROL LANE,LAFAYETTE,CA,94549,CONTRA COSTA,02,37,LICENSED,5/27/2015,,05252025
DAY CARE CENTER,053617025,BUILDING BRIDGES PRESCHOOL,CALAVERAS COUNTY OFFICE OF EDUCATION,KRISTI LERETTE,(209) 736-6014,217 SCHOOL STREET,COPPEROPOLIS,CA,95228,CALAVERAS,53,19,LICENSED,2/28/2012,,05252025
DAY CARE CENTER,414004834,BUILDING KIDZ,"A & J BLESSING, INC",ANA GALDAMEZ,(650) 636-4425,935 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,05,60,LICENSED,10/26/2021,,05252025
DAY CARE CENTER,414004681,BUILDING KIDZ,"BUILDING KIDZ OF DALY CITY AND SAN BRUNO, INC.","FRANCIS, SOPHIN",(650) 735-5249,1496 ADOBE DRIVE,PACIFICA,CA,94044,SAN MATEO,05,72,LICENSED,7/29/2020,,05252025
DAY CARE CENTER,343622721,BUILDING KIDZ - BLUE RAVINE (PS),BUILDING KIDZ WORLDWIDE LLC,"EWEY, JENNIFER",(916) 608-9900,231 BLUE RAVINE #400,FOLSOM,CA,95630,SACRAMENTO,03,48,CLOSED,2/28/2019,4/19/2023,05252025
DAY CARE CENTER,343623428,BUILDING KIDZ - ELK GROVE,NA&A,MAGALE OROZCO,(916) 688-5437,7511 WEST STOCKTON BLVD,SACRAMENO,CA,95823,SACRAMENTO,03,39,LICENSED,5/12/2020,,05252025
DAY CARE CENTER,343622693,BUILDING KIDZ - GREENBACK (PS),"BUILDING KIDZ WORLDWIDE, LLC",JENNIFER SLONE,(916) 735-3165,8073 GREENBACK LANE,CITRUS HEIGHTS,CA,95610,SACRAMENTO,03,40,CLOSED,1/25/2019,4/19/2021,05252025
DAY CARE CENTER,313623347,BUILDING KIDZ - ROSEVILLE WEST,"BUCCOLA INVESTMENTS, INC.","VORONENKO, DARIA",(916) 782-5437,"945 ROSEVILLE PARKWAY,",ROSEVILLE,CA,95678,PLACER,03,48,CLOSED,12/16/2019,5/6/2024,05252025
DAY CARE CENTER,093623367,BUILDING KIDZ EL DORADO HILLS,BUCCOLA INVESTMENTS INC,"KUNIS, SHELBY",(916) 358-5276,5041 ROBERT J MATTHEWS PRKY200,EL DORADO HILLS,CA,95762,EL DORADO,03,48,CLOSED,12/18/2019,9/13/2023,05252025
DAY CARE CENTER,343623893,BUILDING KIDZ OF CITRUS HEIGHTS,NA & A INC,"LAWSON, ICEE",(916) 735-3165,8073 GREENBACK LN,CITRUS HEIGHTS,CA,95610,SACRAMENTO,03,40,LICENSED,4/19/2021,,05252025
DAY CARE CENTER,015700583,BUILDING KIDZ OF DUBLIN,"BUILDING KIDZ FAMILY OF DUBLIN, LLC",SHUBRA GUPTA,(650) 777-5301,6351 DUBLIN BOULEVARD,DUBLIN,CA,94568,ALAMEDA,52,60,LICENSED,11/3/2022,,05252025
DAY CARE CENTER,015700517,BUILDING KIDZ OF HAYWARD,"MARCH FORWARD, LLC DBA BUILDING KIDZ OF HAYWARD",MARANGELLI VELASQUEZ,(510) 963-5127,24748 HESPERIAN BLVD.,HAYWARD,CA,94545,ALAMEDA,52,60,LICENSED,10/20/2020,,05252025
DAY CARE CENTER,015700516,BUILDING KIDZ OF LIVERMORE,"PACIFIC PALS, LLC","MISTRY, DEVAL",(925) 455-5564,3820 EAST AVENUE,LIVERMORE,CA,94550,ALAMEDA,52,70,LICENSED,8/12/2020,,05252025
DAY CARE CENTER,414004311,BUILDING KIDZ OF MENLO PARK,"XUEREB ENTERPRISES, INC.","HOWARD, DARCY",(650) 324-3668,490 WILLOW ROAD,MENLO PARK,CA,94025,SAN MATEO,05,27,LICENSED,12/1/2017,,05252025
DAY CARE CENTER,414005061,BUILDING KIDZ OF MILLBRAE,ISBEIH INC,EMAN ISBEIH,(650) 636-4110,401 SANTA LUCIA AVENUE,MILLBRAE,CA,94030,SAN MATEO,05,48,LICENSED,12/11/2023,,05252025
DAY CARE CENTER,435700750,BUILDING KIDZ OF MILPITAS AT MAIN STREET,SAAKAAR LLC,"JAIN, SAPNA",(408) 425-6434,195 NORTH MAIN STREET,MILPITAS,CA,95035,SANTA CLARA,52,26,LICENSED,6/3/2022,,05252025
DAY CARE CENTER,434415123,BUILDING KIDZ OF MOUNTAIN VIEW,R & R LEARNING CENTER LLC,EBUN EVIEN,(650) 967-8000,250 EAST DANA STREET,MOUNTAIN VIEW,CA,94041,SANTA CLARA,52,96,LICENSED,10/2/2017,,05252025
DAY CARE CENTER,414004866,BUILDING KIDZ OF NORTH SAN MATEO,"BUILDING KIDZ FAMILY OF SAN MATEO, LLC",KAYLA PEREIRA,(650) 393-5212,120 LINDBERGH STREET,SAN MATEO,CA,94401,SAN MATEO,05,60,LICENSED,5/4/2022,,05252025
DAY CARE CENTER,343623422,BUILDING KIDZ OF RANCHO CORDOVA,NA&A INC,"BERRY, CHATELL",(916) 706-2653,1941 ZINFANDEL DRIVE,RANCHO CORDOVA,CA,95670,SACRAMENTO,03,45,LICENSED,4/17/2020,,05252025
DAY CARE CENTER,414004755,BUILDING KIDZ OF REDWOOD CITY ROOSEVELT AVE.,"BUILDING KIDZ FAMILY, LLC","AQUINO, NAYREN D.",(650) 482-2407,907 ROOSEVELT AVENUE,REDWOOD CITY,CA,94061,SAN MATEO,05,106,LICENSED,1/12/2021,,05252025
DAY CARE CENTER,075700606,BUILDING KIDZ OF SAN RAMON,"KHUSHVI, LLC DBA BUILDING KIDZ OF SAN RAMON","TURNAGE, TASHA",(925) 838-4148,"210 PORTER AVENUE, SUITE 110",SAN RAMON,CA,94583,CONTRA COSTA,52,80,LICENSED,2/2/2021,,05252025
DAY CARE CENTER,384004543,BUILDING KIDZ OF SF-PACIFIC HEIGHTS,BUILDING KIDZ FAMILY OF SAN FRANCISCO LLC,"ISBEIH, EMAN",(415) 839-5177,2426 CALIFORNIA STREET,SAN FRANCISCO,CA,94115,SAN FRANCISCO,05,36,CLOSED,5/6/2022,7/15/2024,05252025
DAY CARE CENTER,414002749,"BUILDING KIDZ OF SSF, INC.(PRESCHOOL)","BUILDING KIDZ OF SSF, INC.",JACQUELINE GALDAMEZ,(650) 837-9348,600 GRAND AVENUE,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,05,54,LICENSED,3/19/2011,,05252025
DAY CARE CENTER,434417275,BUILDING KIDZ OF SUNNYVALE IN LAKEWOOD VILLAGE,KIDZ WORLD ACADEMY LLC,WILSON KO,(408) 737-7022,878 LAKEWOOD DRIVE,SUNNYVALE,CA,94089,SANTA CLARA,07,38,LICENSED,6/28/2022,,05252025
DAY CARE CENTER,384004823,BUILDING KIDZ ON 20TH AVENUE,HUMMINGBIRD SPEED LLC,"XUEREB, SYLVIA",(415) 494-1305,1214 20TH AVENUE,SAN FRANCISCO,CA,94122,SAN FRANCISCO,05,20,LICENSED,12/28/2023,,05252025
DAY CARE CENTER,384004791,BUILDING KIDZ ON 20TH AVENUE,HUMMINGBIRD SPEED LLC,"XUEREB, SYLVIA",(415) 494-1305,1258 20TH AVENUE,SAN FRANCISCO,CA,94122,SAN FRANCISCO,05,26,LICENSED,12/28/2023,,05252025
DAY CARE CENTER,414004591,BUILDING KIDZ PACIFICA,NMJ&A DBA,"MERCADO, CHRISTINE",(650) 557-1256,401 PALOMA AVENUE,PACIFICA,CA,94044,SAN MATEO,05,72,LICENSED,9/24/2019,,05252025
DAY CARE CENTER,435700718,BUILDING KIDZ PALO ALTO,AP VENTURE LLC,"BUI, CATHY",(650) 673-3700,415 LAMBERT AVENUE,PALO ALTO,CA,94306,SANTA CLARA,52,96,LICENSED,9/10/2019,,05252025
DAY CARE CENTER,384004605,BUILDING KIDZ SAN FRANCISCO AT SUNSET,STEPHANIE YEAP LLC,ANNIE MA,(949) 735-7470,2540 TARAVAL STREET,SAN FRANCISCO,CA,94116,SAN FRANCISCO,05,49,LICENSED,10/28/2022,,05252025
DAY CARE CENTER,434417304,BUILDING KIDZ SANTA CLARA,AB KIDS LLC,AJANTA DAS,(408) 758-8804,"1500 LOS PADRES BLVD #110,#111",SANTA CLARA,CA,95050,SANTA CLARA,07,66,CLOSED,5/23/2023,1/12/2025,05252025
DAY CARE CENTER,073408238,BUILDING KIDZ SCHOOL,BUILDING KIDZ SCHOOL,KAREN NGUENTI,(925) 687-9124,"5100 CLAYTON RD, F36",CONCORD,CA,94521,CONTRA COSTA,02,93,LICENSED,6/9/2017,,05252025
DAY CARE CENTER,414004637,BUILDING KIDZ SCHOOL,CHUGH PARTNERS LLC,"RAJPUT, KOMAL",(650) 718-6800,1633 LAUREL STREET,SAN CARLOS,CA,94070,SAN MATEO,05,60,CLOSED,2/26/2020,3/14/2024,05252025
DAY CARE CENTER,434416419,BUILDING KIDZ SCHOOL,MANALI ECE LLC,MANALI AMAR DOSHI,(408) 559-1003,"4115 JACKOL DRIVE, BLDG 3 & 4",SAN JOSE,CA,95124,SANTA CLARA,07,125,LICENSED,2/20/2020,,05252025
DAY CARE CENTER,435700724,BUILDING KIDZ SCHOOL,TOSHA LLC,"ALVAREZ, CINDY",(650) 505-3740,569 SAN ANTONIO ROAD,PALO ALTO,CA,94306,SANTA CLARA,52,50,CLOSED,9/14/2020,4/5/2021,05252025
DAY CARE CENTER,435700740,BUILDING KIDZ SCHOOL,NANAK BALWADI LLC,"ALVAREZ, CYNTHIA",(650) 966-6400,569 SAN ANTONIO ROAD,PALO ALTO,CA,94306,SANTA CLARA,52,55,LICENSED,6/16/2021,,05252025
DAY CARE CENTER,313623043,BUILDING KIDZ SCHOOL - EUREKA (PS),"TRIPLE LINDY CORP, THE",MYLIEGH GIBSON,(916) 780-5437,"1485 EUREKA RD, STE G170",ROSEVILLE,CA,95661,PLACER,03,58,LICENSED,5/21/2019,,05252025
DAY CARE CENTER,384004137,BUILDING KIDZ SCHOOL OF SAN FRANCISCO,"EECH, LLC","GARCIA, REBECCA",(951) 893-7303,143 CLEMENT STREET,SAN FRANCISCO,CA,94118,SAN FRANCISCO,05,25,LICENSED,11/1/2019,,05252025
DAY CARE CENTER,444415700,BUILDING KIDZ SCOTTS VALLEY,ANIKUL,"MISTRY, ANISHA",(831) 438-4813,106 VINE HILL SCHOOL ROAD,SCOTTS VALLEY,CA,95066,SANTA CRUZ,07,47,CLOSED,6/1/2018,11/5/2024,05252025
DAY CARE CENTER,376300325,BUILDING KIDZ VISTA,TERENCE VERTONGEN,MELISSA GREENWAY,(760) 945-9222,777 TAYLOR STREET,VISTA,CA,92084,SAN DIEGO,10,54,LICENSED,7/28/2021,,05252025
DAY CARE CENTER,414004236,BUILDING KIDZ (PS),"J&AA, INC.","NESHEIWAT, SAMANTHA",(650) 212-5439,39 E. 39TH AVENUE,SAN MATEO,CA,94403,SAN MATEO,05,70,LICENSED,8/23/2016,,05252025
DAY CARE CENTER,343624745,BUILDINGKIDZ OF FOLSOM,JMDS LLC,"NATHANI, PUNEET",(916) 608-9900,231 BLUE RAVINE RD SUITE #400,FOLSOM,CA,95630,SACRAMENTO,03,48,LICENSED,4/19/2023,12/27/2024,05252025
DAY CARE CENTER,304270192,BUMBLE BEE CHRISTIAN LEARNING CENTER,ERNEST T. NOCE,MARIA MORA,(714) 526-6272,2353 WILLIAMSON AVE,FULLERTON,CA,92833,ORANGE,06,57,LICENSED,7/11/1996,,05252025
DAY CARE CENTER,304370909,"BUMBLE BEE PRESCHOOL CENTER, INC.","BUMBLE BEE PRESCHOOL CENTER, INC.","NGUYEN, TAMMIE",(714) 855-6998,2555 SANTIAGO STREET,SANTA ANA,CA,92706,ORANGE,06,67,CLOSED,6/9/2014,3/20/2025,05252025
DAY CARE CENTER,197494523,BUMO-CENTURY CITY,JOAN NGUYEN,"NGUYEN, JOAN",(310) 430-0280,"10250 SANTA MONICA BLVD, #2860",LOS ANGELES,CA,90067,LOS ANGELES,58,14,CLOSED,,10/19/2020,05252025
DAY CARE CENTER,197494727,BUMO - CENTURY CITY,PARC VENTURES INC DBA BUMO,DARLENE DAVIS-AYALA,(909) 648-6954,10250 SANTA MONICA BLVD. #2860,LOS ANGELES,CA,90067,LOS ANGELES,58,14,CLOSED,6/25/2021,12/31/2024,05252025
DAY CARE CENTER,198007432,BUNDLE OF JOY DAYCARE #3,BUNDLE OF JOY DAY CARE INC.,YOLANDA STOWE,(562) 728-6882,4835 LONG BEACH BLVD.,LONG BEACH,CA,90805,LOS ANGELES,54,45,LICENSED,6/3/2002,,05252025
DAY CARE CENTER,330909158,BUNDY CANYON CHRISTIAN SCHOOL,BUNDY CANYON CHRISTIAN CHURCH AND SCHOOL,KELLY HERNANDEZ,(951) 674-1254,23411 BUNDY CANYON ROAD,WILDOMAR,CA,92595,RIVERSIDE,10,60,LICENSED,9/12/1990,,05252025
